state,date,month,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha
Assam,2024-04-30,2024-04,6032.0,56.3,20.5,117.8,5041.0
Assam,2024-05-30,2024-05,18196.0,62.0,3.4,146.0,4819.0
Assam,2024-06-29,2024-06,13663.0,62.9,9.4,89.5,4790.0
Assam,2024-07-29,2024-07,14155.0,50.4,1.0,79.9,4616.0
Assam,2024-08-28,2024-08,14896.0,62.8,5.7,80.0,5492.0
Assam,2024-09-27,2024-09,14358.0,58.4,24.9,77.5,5191.0
Assam,2024-10-27,2024-10,12399.0,56.4,26.5,149.1,4681.0
Assam,2024-11-26,2024-11,10726.0,52.2,3.1,87.3,5595.0
Bihar,2024-01-01,2024-01,15409.0,50.8,3.3,109.4,4724.0
Bihar,2024-01-31,2024-01,13519.0,47.4,5.6,131.0,5898.0
Bihar,2024-03-01,2024-03,10529.0,56.4,3.8,106.7,5329.0
Bihar,2024-03-31,2024-03,16824.0,51.0,4.5,72.4,4635.0
Bihar,2024-04-30,2024-04,4967.0,52.4,30.4,104.5,4992.0
Bihar,2024-05-30,2024-05,18565.0,52.3,12.6,90.2,5522.0
Bihar,2024-06-29,2024-06,17046.0,57.9,10.5,92.8,5295.0
Bihar,2024-07-29,2024-07,18326.0,57.5,7.5,121.3,5585.0
Bihar,2024-08-28,2024-08,19146.0,54.2,6.9,102.9,5603.0
Bihar,2024-09-27,2024-09,12549.0,53.0,26.1,100.6,5639.0
Bihar,2024-10-27,2024-10,12459.0,48.2,25.1,114.9,5323.0
Bihar,2024-11-26,2024-11,17192.0,56.1,24.1,105.0,5789.0
Chhattisgarh,2024-01-01,2024-01,11771.0,58.0,5.8,103.7,4777.0
Chhattisgarh,2024-01-31,2024-01,12466.0,49.9,8.2,102.7,4650.0
Chhattisgarh,2024-03-01,2024-03,14868.0,52.2,0.4,107.5,5783.0
Chhattisgarh,2024-03-31,2024-03,11842.0,64.4,3.3,71.0,3901.0
Chhattisgarh,2024-04-30,2024-04,5440.0,49.9,23.5,114.2,5122.0
Chhattisgarh,2024-05-30,2024-05,13308.0,59.4,1.2,113.0,4950.0
Chhattisgarh,2024-06-29,2024-06,20540.0,47.4,1.8,86.2,4977.0
Chhattisgarh,2024-07-29,2024-07,15730.0,56.8,4.3,75.0,5722.0
Chhattisgarh,2024-08-28,2024-08,14754.0,56.7,8.4,109.1,5285.0
Chhattisgarh,2024-09-27,2024-09,16343.0,61.6,26.9,103.9,5355.0
Chhattisgarh,2024-10-27,2024-10,11785.0,51.6,29.3,136.0,4980.0
Chhattisgarh,2024-11-26,2024-11,8566.0,51.6,5.4,116.8,4674.0
Goa,2024-01-01,2024-01,10929.0,52.7,0.0,51.5,4208.0
Goa,2024-01-31,2024-01,13825.0,57.1,7.4,80.7,4976.0
Goa,2024-03-01,2024-03,11991.0,62.5,1.5,117.5,4890.0
Goa,2024-03-31,2024-03,12065.0,44.8,5.6,95.1,4659.0
Goa,2024-04-30,2024-04,3998.0,64.0,24.2,112.8,4714.0
Goa,2024-05-30,2024-05,16718.0,59.6,9.2,101.2,4677.0
Goa,2024-06-29,2024-06,17095.0,59.5,6.2,112.7,5525.0
Goa,2024-07-29,2024-07,13394.0,56.0,9.0,141.5,4655.0
Goa,2024-08-28,2024-08,20208.0,51.7,5.6,90.3,4840.0
Goa,2024-09-27,2024-09,16272.0,52.1,26.6,99.5,6071.0
Goa,2024-10-27,2024-10,16146.0,55.2,26.3,102.4,5307.0
Goa,2024-11-26,2024-11,9545.0,46.7,4.2,108.0,5324.0
Gujarat,2024-01-01,2024-01,13008.0,28.9,9.7,70.7,6112.0
Gujarat,2024-01-31,2024-01,17416.0,32.7,10.1,121.6,5981.0
Gujarat,2024-03-01,2024-03,13903.0,38.3,7.7,68.5,6738.0
Gujarat,2024-03-31,2024-03,18375.0,37.0,3.1,109.9,6130.0
Gujarat,2024-04-30,2024-04,5340.0,34.9,23.0,123.5,6272.0
Gujarat,2024-05-30,2024-05,16666.0,20.8,27.3,123.0,5130.0
Gujarat,2024-06-29,2024-06,16695.0,28.5,1.6,123.2,5766.0
Gujarat,2024-07-29,2024-07,19247.0,37.4,4.9,101.5,5359.0
Gujarat,2024-08-28,2024-08,21587.0,27.2,3.5,91.4,6750.0
Gujarat,2024-09-27,2024-09,21061.0,33.3,24.0,93.6,7038.0
Gujarat,2024-10-27,2024-10,15500.0,40.2,26.3,104.8,5870.0
Gujarat,2024-11-26,2024-11,13835.0,34.8,4.8,114.6,6026.0
Haryana,2024-01-01,2024-01,34396.0,85.4,4.8,60.0,12958.0
Haryana,2024-01-31,2024-01,32079.0,70.5,8.0,141.8,12430.0
Haryana,2024-03-01,2024-03,36649.0,88.1,1.9,78.9,12188.0
Haryana,2024-03-31,2024-03,41484.0,86.1,4.4,117.4,12748.0
Haryana,2024-04-30,2024-04,12876.0,97.0,26.1,98.8,12601.0
Haryana,2024-05-30,2024-05,45380.0,90.9,8.3,112.8,11928.0
Haryana,2024-06-29,2024-06,49751.0,86.5,1.6,84.9,12468.0
Haryana,2024-07-29,2024-07,39966.0,87.1,6.0,132.3,12727.0
Haryana,2024-08-28,2024-08,35669.0,90.9,7.9,75.4,12799.0
Haryana,2024-09-27,2024-09,42759.0,91.9,24.1,97.0,12563.0
Haryana,2024-10-27,2024-10,28962.0,79.5,25.0,71.2,13297.0
Haryana,2024-11-26,2024-11,24918.0,74.2,22.0,87.2,11838.0
Himachal Pradesh,2024-01-01,2024-01,15941.0,51.6,8.0,145.0,5491.0
Himachal Pradesh,2024-01-31,2024-01,11220.0,66.5,0.0,72.2,4177.0
Himachal Pradesh,2024-03-01,2024-03,14454.0,61.9,32.3,111.3,5297.0
Himachal Pradesh,2024-03-31,2024-03,14048.0,56.4,27.3,102.1,4969.0
Himachal Pradesh,2024-04-30,2024-04,4246.0,46.5,24.2,98.0,4506.0
Himachal Pradesh,2024-05-30,2024-05,11689.0,62.0,25.5,118.4,4215.0
Himachal Pradesh,2024-06-29,2024-06,12031.0,50.1,7.8,95.5,5275.0
Himachal Pradesh,2024-07-29,2024-07,12095.0,48.3,5.3,88.0,5160.0
Himachal Pradesh,2024-08-28,2024-08,10221.0,54.9,6.3,111.0,5112.0
Himachal Pradesh,2024-09-27,2024-09,19092.0,52.9,25.4,102.4,5272.0
Himachal Pradesh,2024-10-27,2024-10,12117.0,51.5,25.1,86.7,4299.0
Himachal Pradesh,2024-11-26,2024-11,16199.0,51.5,1.3,85.6,5447.0
Jharkhand,2024-01-01,2024-01,11292.0,51.6,8.7,105.6,4582.0
Jharkhand,2024-01-31,2024-01,17148.0,56.5,1.4,112.7,5207.0
Jharkhand,2024-03-01,2024-03,11555.0,55.2,24.6,97.1,5482.0
Jharkhand,2024-03-31,2024-03,17305.0,48.2,23.3,98.2,6290.0
Jharkhand,2024-04-30,2024-04,4196.0,63.4,29.9,88.9,5284.0
Jharkhand,2024-05-30,2024-05,19885.0,54.0,3.9,88.4,4493.0
Jharkhand,2024-06-29,2024-06,13052.0,55.2,1.3,84.6,5117.0
Jharkhand,2024-07-29,2024-07,10332.0,59.2,6.0,60.1,5187.0
Jharkhand,2024-08-28,2024-08,18683.0,63.4,1.4,108.4,4647.0
Jharkhand,2024-09-27,2024-09,14833.0,55.4,26.7,110.8,4540.0
Jharkhand,2024-10-27,2024-10,12406.0,54.4,20.8,81.9,4632.0
Jharkhand,2024-11-26,2024-11,14967.0,58.0,8.3,78.2,4842.0
Karnataka,2024-01-01,2024-01,26841.0,56.6,5.4,107.9,9096.0
Karnataka,2024-01-31,2024-01,20265.0,44.2,5.4,114.2,9478.0
Karnataka,2024-03-01,2024-03,18205.0,35.8,1.0,110.2,8448.0
Karnataka,2024-03-31,2024-03,12300.0,57.5,6.2,99.9,9419.0
Karnataka,2024-04-30,2024-04,9147.0,49.6,24.7,94.2,9134.0
Karnataka,2024-05-30,2024-05,28737.0,50.0,3.0,96.5,8622.0
Karnataka,2024-06-29,2024-06,29897.0,45.1,2.3,99.8,9543.0
Karnataka,2024-07-29,2024-07,29563.0,49.1,4.9,127.8,9279.0
Karnataka,2024-08-28,2024-08,27056.0,39.7,1.1,93.9,8695.0
Karnataka,2024-09-27,2024-09,25990.0,47.6,25.2,98.6,9243.0
Karnataka,2024-10-27,2024-10,21879.0,40.3,19.1,97.1,8395.0
Karnataka,2024-11-26,2024-11,24192.0,51.1,29.6,95.7,9745.0
Kerala,2024-01-01,2024-01,12357.0,51.9,4.0,94.0,4806.0
Kerala,2024-01-31,2024-01,12409.0,55.0,5.5,108.7,5595.0
Kerala,2024-03-01,2024-03,14279.0,42.2,20.5,118.7,4317.0
Kerala,2024-03-31,2024-03,11461.0,46.0,21.5,110.8,5380.0
Kerala,2024-04-30,2024-04,4423.0,52.3,17.2,107.8,4261.0
Kerala,2024-05-30,2024-05,15550.0,57.9,5.0,102.4,4513.0
Kerala,2024-06-29,2024-06,18590.0,54.9,4.5,81.3,4778.0
Kerala,2024-07-29,2024-07,12346.0,63.6,4.5,72.6,4193.0
Kerala,2024-08-28,2024-08,19414.0,51.7,24.4,120.8,4697.0
Kerala,2024-09-27,2024-09,20478.0,52.6,27.0,143.1,4697.0
Kerala,2024-10-27,2024-10,13781.0,61.5,25.9,131.2,5016.0
Kerala,2024-11-26,2024-11,10192.0,51.6,6.4,140.3,5068.0
Madhya Pradesh,2024-01-01,2024-01,20022.0,38.3,5.6,80.6,9600.0
Madhya Pradesh,2024-01-31,2024-01,18762.0,47.7,1.9,123.7,9359.0
Madhya Pradesh,2024-03-01,2024-03,25903.0,37.9,22.7,130.0,8839.0
Madhya Pradesh,2024-03-31,2024-03,20516.0,47.8,29.0,109.1,10083.0
Madhya Pradesh,2024-04-30,2024-04,7842.0,45.3,27.8,105.4,9764.0
Madhya Pradesh,2024-05-30,2024-05,29742.0,50.4,6.6,92.7,8580.0
Madhya Pradesh,2024-06-29,2024-06,21358.0,55.3,0.0,77.9,8889.0
Madhya Pradesh,2024-07-29,2024-07,25505.0,49.1,5.9,117.2,8708.0
Madhya Pradesh,2024-08-28,2024-08,26098.0,43.8,5.8,132.1,9245.0
Madhya Pradesh,2024-09-27,2024-09,30968.0,50.9,27.0,103.6,8352.0
Madhya Pradesh,2024-10-27,2024-10,23327.0,42.4,23.0,111.7,9619.0
Madhya Pradesh,2024-11-26,2024-11,21692.0,53.5,5.9,104.8,10301.0
Maharashtra,2024-01-01,2024-01,24043.0,48.8,0.0,107.6,9645.0
Maharashtra,2024-01-31,2024-01,24508.0,38.9,4.6,95.8,8575.0
Maharashtra,2024-03-01,2024-03,19092.0,53.3,6.8,107.9,8402.0
Maharashtra,2024-03-31,2024-03,23521.0,42.0,8.6,97.3,9007.0
Maharashtra,2024-04-30,2024-04,7587.0,44.4,26.9,108.4,8556.0
Maharashtra,2024-05-30,2024-05,24638.0,43.1,27.2,134.5,8800.0
Maharashtra,2024-06-29,2024-06,28213.0,37.9,7.8,64.8,8237.0
Maharashtra,2024-07-29,2024-07,33818.0,57.8,3.3,88.7,9092.0
Maharashtra,2024-08-28,2024-08,35327.0,55.3,31.0,124.2,9512.0
Maharashtra,2024-09-27,2024-09,30200.0,42.2,27.3,83.6,8998.0
Maharashtra,2024-10-27,2024-10,20865.0,48.5,23.6,119.1,9044.0
Maharashtra,2024-11-26,2024-11,27983.0,44.0,1.6,85.7,8067.0
Manipur,2024-01-01,2024-01,11802.0,62.6,4.6,112.6,4488.0
Manipur,2024-01-31,2024-01,16450.0,57.9,8.7,95.5,4520.0
Manipur,2024-03-01,2024-03,11107.0,64.4,8.3,130.9,4756.0
Manipur,2024-03-31,2024-03,9313.0,46.2,5.4,106.5,4926.0
Manipur,2024-04-30,2024-04,4534.0,57.6,20.2,89.3,4415.0
Manipur,2024-05-30,2024-05,6383.0,63.9,4.9,133.2,4771.0
Manipur,2024-06-29,2024-06,13193.0,50.0,6.4,106.0,5383.0
Manipur,2024-07-29,2024-07,18681.0,54.0,4.7,82.4,4587.0
Manipur,2024-08-28,2024-08,14321.0,59.6,26.1,83.9,5746.0
Manipur,2024-09-27,2024-09,14187.0,51.3,24.9,51.5,5442.0
Manipur,2024-10-27,2024-10,13768.0,55.3,24.2,110.3,4219.0
Manipur,2024-11-26,2024-11,10730.0,48.7,7.4,105.9,4322.0
Meghalaya,2024-01-01,2024-01,13119.0,46.9,4.9,123.3,4633.0
Meghalaya,2024-01-31,2024-01,10055.0,60.7,5.6,79.7,5031.0
Meghalaya,2024-03-01,2024-03,13029.0,55.9,7.1,92.7,4586.0
Meghalaya,2024-03-31,2024-03,12207.0,40.4,1.8,108.7,5452.0
Meghalaya,2024-04-30,2024-04,2637.0,58.1,22.0,141.1,5010.0
Meghalaya,2024-05-30,2024-05,12816.0,61.9,4.5,87.1,4600.0
Meghalaya,2024-06-29,2024-06,13552.0,55.6,2.1,132.5,5162.0
Meghalaya,2024-07-29,2024-07,14243.0,47.2,4.1,117.7,4961.0
Meghalaya,2024-08-28,2024-08,14459.0,56.5,34.6,85.0,4787.0
Meghalaya,2024-09-27,2024-09,18445.0,47.8,25.3,118.4,4666.0
Meghalaya,2024-10-27,2024-10,16496.0,52.8,28.2,125.6,5034.0
Meghalaya,2024-11-26,2024-11,14047.0,50.8,6.5,87.1,5515.0
Mizoram,2024-01-01,2024-01,11197.0,50.2,3.8,108.5,6031.0
Mizoram,2024-01-31,2024-01,9438.0,62.1,5.1,98.4,5226.0
Mizoram,2024-03-01,2024-03,9450.0,54.1,6.3,119.7,5594.0
Mizoram,2024-03-31,2024-03,18215.0,56.6,6.7,103.9,4823.0
Mizoram,2024-04-30,2024-04,5338.0,55.8,24.1,126.4,4497.0
Mizoram,2024-05-30,2024-05,18420.0,54.4,9.0,57.6,4696.0
Mizoram,2024-06-29,2024-06,18891.0,50.0,4.9,89.9,5420.0
Mizoram,2024-07-29,2024-07,16640.0,53.2,4.3,92.2,4539.0
Mizoram,2024-08-28,2024-08,19846.0,61.1,4.0,130.4,5499.0
Mizoram,2024-09-27,2024-09,13705.0,54.9,26.2,81.9,5162.0
Mizoram,2024-10-27,2024-10,9170.0,52.7,28.6,104.0,5142.0
Mizoram,2024-11-26,2024-11,11379.0,52.6,6.8,117.4,4327.0
Nagaland,2024-01-01,2024-01,12303.0,50.0,10.8,86.4,5257.0
Nagaland,2024-01-31,2024-01,12431.0,57.4,6.1,112.7,5555.0
Nagaland,2024-03-01,2024-03,12984.0,58.4,24.3,138.0,4934.0
Nagaland,2024-03-31,2024-03,9661.0,54.4,28.3,56.5,5424.0
Nagaland,2024-04-30,2024-04,4465.0,56.7,24.7,103.8,5355.0
Nagaland,2024-05-30,2024-05,13694.0,53.7,6.5,114.8,5308.0
Nagaland,2024-06-29,2024-06,12194.0,52.3,8.3,116.2,5184.0
Nagaland,2024-07-29,2024-07,20515.0,53.3,4.3,99.6,4848.0
Nagaland,2024-08-28,2024-08,17400.0,49.7,0.2,78.6,5475.0
Nagaland,2024-09-27,2024-09,20132.0,54.2,24.7,101.4,5581.0
Nagaland,2024-10-27,2024-10,9774.0,59.9,25.7,110.0,5095.0
Nagaland,2024-11-26,2024-11,14403.0,58.4,0.0,86.9,4085.0
Odisha,2024-01-01,2024-01,13227.0,54.3,9.1,119.1,5806.0
Odisha,2024-01-31,2024-01,15156.0,58.7,9.9,101.5,4199.0
Odisha,2024-03-01,2024-03,11409.0,65.9,2.5,96.5,5062.0
Odisha,2024-03-31,2024-03,13324.0,63.5,5.1,87.5,5097.0
Odisha,2024-04-30,2024-04,4258.0,51.9,21.0,99.3,4785.0
Odisha,2024-05-30,2024-05,12923.0,54.6,0.8,69.9,5380.0
Odisha,2024-06-29,2024-06,15247.0,53.5,0.6,85.0,5160.0
Odisha,2024-07-29,2024-07,19021.0,55.6,0.0,96.8,5336.0
Odisha,2024-08-28,2024-08,15640.0,53.4,2.7,84.1,5538.0
Odisha,2024-09-27,2024-09,15064.0,54.7,30.7,85.8,4243.0
Odisha,2024-10-27,2024-10,7672.0,56.3,20.2,110.2,4209.0
Odisha,2024-11-26,2024-11,14148.0,55.7,23.6,132.2,5448.0
Punjab,2024-01-01,2024-01,28389.0,74.2,2.3,85.6,12394.0
Punjab,2024-01-31,2024-01,24077.0,85.4,4.6,95.5,12175.0
Punjab,2024-03-01,2024-03,31012.0,79.5,6.3,128.2,12451.0
Punjab,2024-03-31,2024-03,30113.0,86.2,7.1,119.1,12644.0
Punjab,2024-04-30,2024-04,10969.0,79.3,26.1,102.2,12483.0
Punjab,2024-05-30,2024-05,35939.0,75.6,4.6,89.0,12546.0
Punjab,2024-06-29,2024-06,38699.0,91.3,1.9,82.7,12985.0
Punjab,2024-07-29,2024-07,40704.0,93.9,3.1,76.1,12960.0
Punjab,2024-08-28,2024-08,45004.0,92.0,3.0,95.0,12644.0
Punjab,2024-09-27,2024-09,39452.0,89.1,24.6,115.9,11626.0
Punjab,2024-10-27,2024-10,37826.0,90.2,20.0,122.5,11955.0
Punjab,2024-11-26,2024-11,27535.0,83.9,21.7,93.8,12890.0
Rajasthan,2024-01-01,2024-01,18174.0,32.2,9.2,95.8,5158.0
Rajasthan,2024-01-31,2024-01,12079.0,43.1,7.9,75.3,5704.0
Rajasthan,2024-03-01,2024-03,14324.0,31.0,25.8,108.5,5763.0
Rajasthan,2024-03-31,2024-03,14358.0,35.0,26.6,91.3,5945.0
Rajasthan,2024-04-30,2024-04,5894.0,33.7,23.9,132.0,6280.0
Rajasthan,2024-05-30,2024-05,16936.0,33.3,27.1,123.5,6185.0
Rajasthan,2024-06-29,2024-06,17614.0,27.1,6.3,77.5,5403.0
Rajasthan,2024-07-29,2024-07,18515.0,46.2,10.2,112.8,6250.0
Rajasthan,2024-08-28,2024-08,11516.0,31.1,23.4,87.6,5916.0
Rajasthan,2024-09-27,2024-09,16300.0,38.7,19.1,78.5,6120.0
Rajasthan,2024-10-27,2024-10,20373.0,22.3,22.2,94.3,6550.0
Rajasthan,2024-11-26,2024-11,20040.0,37.5,1.3,90.7,5947.0
Sikkim,2024-01-01,2024-01,18346.0,56.3,0.5,109.4,5543.0
Sikkim,2024-01-31,2024-01,12235.0,53.0,5.9,105.4,4828.0
Sikkim,2024-03-01,2024-03,13492.0,56.9,3.9,99.4,5563.0
Sikkim,2024-03-31,2024-03,11877.0,61.3,0.0,81.9,4673.0
Sikkim,2024-04-30,2024-04,4404.0,44.3,29.1,162.8,5528.0
Sikkim,2024-05-30,2024-05,15670.0,56.4,24.8,110.4,5323.0
Sikkim,2024-06-29,2024-06,16667.0,54.0,5.3,97.0,4903.0
Sikkim,2024-07-29,2024-07,18401.0,40.3,6.8,113.1,5097.0
Sikkim,2024-08-28,2024-08,14944.0,60.6,3.8,119.0,4614.0
Sikkim,2024-09-27,2024-09,16221.0,48.1,22.1,87.5,5431.0
Sikkim,2024-10-27,2024-10,14288.0,58.6,26.5,110.3,4679.0
Sikkim,2024-11-26,2024-11,13037.0,58.8,27.4,123.8,5354.0
Tamil Nadu,2024-01-01,2024-01,12843.0,54.9,8.2,82.4,4918.0
Tamil Nadu,2024-01-31,2024-01,10212.0,54.3,3.0,84.2,4846.0
Tamil Nadu,2024-03-01,2024-03,7455.0,55.0,5.6,83.7,5330.0
Tamil Nadu,2024-03-31,2024-03,14250.0,51.2,0.2,84.6,4530.0
Tamil Nadu,2024-04-30,2024-04,5829.0,53.7,24.4,59.9,5318.0
Tamil Nadu,2024-05-30,2024-05,11282.0,56.4,25.2,127.2,4346.0
Tamil Nadu,2024-06-29,2024-06,5941.0,64.0,5.6,124.8,5105.0
Tamil Nadu,2024-07-29,2024-07,13525.0,50.1,7.4,109.5,5253.0
Tamil Nadu,2024-08-28,2024-08,18181.0,57.0,13.3,89.8,4987.0
Tamil Nadu,2024-09-27,2024-09,9693.0,53.0,22.9,89.5,5076.0
Tamil Nadu,2024-10-27,2024-10,10026.0,55.0,28.4,99.8,4836.0
Tamil Nadu,2024-11-26,2024-11,12372.0,50.7,7.5,86.8,4848.0
Telangana,2024-01-01,2024-01,8770.0,52.6,2.5,117.5,5131.0
Telangana,2024-01-31,2024-01,12465.0,54.3,7.6,107.8,4948.0
Telangana,2024-03-01,2024-03,12637.0,42.8,3.3,97.3,5711.0
Telangana,2024-03-31,2024-03,14223.0,61.2,7.9,101.8,5099.0
Telangana,2024-04-30,2024-04,4382.0,58.1,24.1,124.1,4930.0
Telangana,2024-05-30,2024-05,13649.0,58.0,5.0,71.1,3852.0
Telangana,2024-06-29,2024-06,13348.0,52.5,1.3,97.0,4773.0
Telangana,2024-07-29,2024-07,19357.0,56.5,6.0,112.4,4431.0
Telangana,2024-08-28,2024-08,18117.0,58.4,4.8,78.6,4223.0
Telangana,2024-09-27,2024-09,17454.0,50.5,26.1,82.6,5563.0
Telangana,2024-10-27,2024-10,9145.0,50.5,29.9,112.8,4836.0
Telangana,2024-11-26,2024-11,13448.0,54.2,3.4,100.8,4499.0
Tripura,2024-01-01,2024-01,13778.0,53.9,3.5,80.1,3719.0
Tripura,2024-01-31,2024-01,11542.0,58.9,12.2,99.6,4869.0
Tripura,2024-03-01,2024-03,12054.0,49.1,6.6,122.3,5358.0
Tripura,2024-03-31,2024-03,13724.0,55.1,6.3,113.5,5296.0
Tripura,2024-04-30,2024-04,4646.0,55.5,23.3,131.0,4380.0
Tripura,2024-05-30,2024-05,10597.0,55.3,25.5,103.5,5122.0
Tripura,2024-06-29,2024-06,14330.0,47.0,9.5,83.4,4948.0
Tripura,2024-07-29,2024-07,10070.0,63.3,4.5,100.4,5115.0
Tripura,2024-08-28,2024-08,11220.0,53.1,3.2,93.6,5641.0
Tripura,2024-09-27,2024-09,16673.0,56.2,21.7,110.0,5570.0
Tripura,2024-10-27,2024-10,15793.0,50.9,22.0,74.8,4883.0
Tripura,2024-11-26,2024-11,13119.0,54.6,28.0,93.6,5076.0
Uttar Pradesh,2024-01-01,2024-01,24989.0,77.0,11.3,103.7,13512.0
Uttar Pradesh,2024-01-31,2024-01,30041.0,83.2,4.4,96.4,13186.0
Uttar Pradesh,2024-03-01,2024-03,16729.0,77.9,29.6,94.7,12285.0
Uttar Pradesh,2024-03-31,2024-03,33531.0,87.3,20.2,140.5,11818.0
Uttar Pradesh,2024-04-30,2024-04,12974.0,87.1,23.0,100.4,12179.0
Uttar Pradesh,2024-05-30,2024-05,41159.0,84.0,30.4,114.4,11853.0
Uttar Pradesh,2024-06-29,2024-06,30327.0,92.4,6.4,107.1,12343.0
Uttar Pradesh,2024-07-29,2024-07,37495.0,88.0,1.2,117.6,12274.0
Uttar Pradesh,2024-08-28,2024-08,33975.0,82.8,5.8,98.7,13550.0
Uttar Pradesh,2024-09-27,2024-09,35647.0,81.8,23.9,114.9,12409.0
Uttar Pradesh,2024-10-27,2024-10,26104.0,92.1,29.0,88.0,11567.0
Uttar Pradesh,2024-11-26,2024-11,36045.0,89.0,2.9,60.6,12946.0
Uttarakhand,2024-01-01,2024-01,9093.0,55.1,7.2,80.9,4796.0
Uttarakhand,2024-01-31,2024-01,13647.0,57.9,5.3,139.5,4218.0
Uttarakhand,2024-03-01,2024-03,15881.0,50.5,5.3,73.4,4905.0
Uttarakhand,2024-03-31,2024-03,14212.0,62.6,4.6,71.0,4994.0
Uttarakhand,2024-04-30,2024-04,3748.0,59.4,26.1,91.6,3698.0
Uttarakhand,2024-05-30,2024-05,15597.0,57.0,6.3,124.7,4464.0
Uttarakhand,2024-06-29,2024-06,17041.0,46.1,8.6,106.4,4748.0
Uttarakhand,2024-07-29,2024-07,14755.0,52.6,6.0,86.5,5017.0
Uttarakhand,2024-08-28,2024-08,11738.0,58.4,21.7,77.0,5333.0
Uttarakhand,2024-09-27,2024-09,16388.0,51.6,19.8,123.9,4509.0
Uttarakhand,2024-10-27,2024-10,10885.0,58.9,26.4,95.0,4701.0
Uttarakhand,2024-11-26,2024-11,15414.0,59.9,10.2,101.7,4596.0
West Bengal,2024-01-01,2024-01,10007.0,57.1,6.6,128.0,5325.0
West Bengal,2024-01-31,2024-01,8393.0,50.0,8.2,92.3,5125.0
West Bengal,2024-03-01,2024-03,16790.0,58.0,14.3,96.3,5267.0
West Bengal,2024-03-31,2024-03,14130.0,64.0,4.0,104.6,5249.0
West Bengal,2024-04-30,2024-04,5666.0,59.2,26.3,87.7,4721.0
West Bengal,2024-05-30,2024-05,11700.0,58.9,6.3,109.2,5837.0
West Bengal,2024-06-29,2024-06,14983.0,49.5,7.0,92.3,5348.0
West Bengal,2024-07-29,2024-07,17547.0,54.6,4.1,69.6,4821.0
West Bengal,2024-08-28,2024-08,17671.0,57.5,6.7,101.0,5004.0
West Bengal,2024-09-27,2024-09,13019.0,57.1,27.1,109.8,4737.0
West Bengal,2024-10-27,2024-10,6832.0,52.6,28.3,82.7,5347.0
West Bengal,2024-11-26,2024-11,11059.0,58.1,8.2,113.7,4317.0
