state,date,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr,year_month
Andaman and Nicobar Islands,2025-01-15,21.7,37.8,1.78,-69.8,0,9,989.0,57.3,9.1,118.9,5884.0,167563.0,6.16,5.84,9.3,64818.0,2025-01
Andaman and Nicobar Islands,2025-01-16,20.2,35.2,1.93,-71.9,0,5,1192.0,47.1,5.3,133.9,4318.0,170604.0,6.99,6.06,10.9,71766.0,2025-01
Andaman and Nicobar Islands,2025-01-17,21.9,40.7,-0.73,-67.5,0,9,1266.0,53.5,8.2,129.5,5136.0,172147.0,6.79,6.25,8.5,54090.0,2025-01
Andaman and Nicobar Islands,2025-01-18,20.6,43.2,2.16,-65.5,0,5,1316.0,53.2,7.8,126.6,5850.0,166508.0,6.13,5.93,10.8,67435.0,2025-01
Andaman and Nicobar Islands,2025-01-19,21.1,28.7,0.62,-77.1,0,9,1038.0,43.6,8.5,88.0,4204.0,169788.0,6.48,6.69,12.5,55177.0,2025-01
Andaman and Nicobar Islands,2025-01-20,21.0,45.1,3.74,-64.0,0,10,1069.0,44.8,10.1,137.4,5517.0,168808.0,6.82,6.63,11.8,73345.0,2025-01
Andaman and Nicobar Islands,2025-01-21,21.2,41.0,2.6,-67.3,0,7,952.0,49.7,7.3,116.3,5223.0,172110.0,6.3,5.85,12.8,56125.0,2025-01
Andaman and Nicobar Islands,2025-01-22,23.5,39.8,0.14,-68.2,0,6,1172.0,55.4,7.3,101.6,4990.0,170567.0,6.61,6.36,12.7,45425.0,2025-01
Andaman and Nicobar Islands,2025-01-23,21.4,40.7,2.56,-67.5,0,10,1038.0,45.2,8.4,122.4,5825.0,169898.0,6.64,5.86,10.7,45960.0,2025-01
Andaman and Nicobar Islands,2025-01-24,20.9,45.2,-0.17,-63.9,0,6,1010.0,59.1,7.9,121.3,4037.0,168886.0,6.67,4.56,8.9,63782.0,2025-01
Andaman and Nicobar Islands,2025-01-25,20.0,39.6,2.04,-68.3,0,5,1209.0,59.3,7.8,126.3,5842.0,170950.0,6.87,5.32,10.4,49141.0,2025-01
Andaman and Nicobar Islands,2025-01-26,18.2,34.8,-0.52,-72.2,0,8,992.0,46.1,6.7,134.2,5728.0,168891.0,6.98,5.39,9.5,53582.0,2025-01
Andaman and Nicobar Islands,2025-01-27,19.7,32.9,-0.1,-73.7,0,7,1349.0,55.7,6.4,92.4,4613.0,170917.0,6.25,6.44,11.6,66823.0,2025-01
Andaman and Nicobar Islands,2025-01-28,21.7,35.0,3.16,-72.1,0,5,1157.0,46.6,5.3,96.6,5663.0,171210.0,6.72,5.36,11.8,55424.0,2025-01
Andaman and Nicobar Islands,2025-01-29,20.2,29.8,1.4,-76.2,0,10,1138.0,47.2,9.8,131.9,5103.0,167675.0,6.79,5.17,8.5,63982.0,2025-01
Andaman and Nicobar Islands,2025-01-30,22.3,42.0,0.34,-66.4,0,6,1164.0,44.6,5.7,115.2,4875.0,169373.0,6.57,6.72,11.9,50468.0,2025-01
Andaman and Nicobar Islands,2025-01-31,19.9,27.9,3.07,-77.7,0,5,955.0,42.6,7.7,95.5,5505.0,172028.0,6.87,6.34,12.0,71113.0,2025-01
Andaman and Nicobar Islands,2025-02-01,20.4,40.5,1.94,-67.7,0,6,1196.0,53.1,7.2,81.9,4781.0,169590.0,6.99,5.06,8.1,46452.0,2025-02
Andaman and Nicobar Islands,2025-02-02,20.2,27.4,3.85,-78.1,0,9,1109.0,42.6,9.3,105.2,4600.0,165989.0,6.39,4.9,12.8,70107.0,2025-02
Andaman and Nicobar Islands,2025-02-03,21.2,31.9,1.93,-74.5,0,10,1013.0,54.1,8.5,94.1,4561.0,166355.0,6.07,6.47,8.6,45010.0,2025-02
Andaman and Nicobar Islands,2025-02-04,24.0,33.1,2.18,-73.5,0,9,1129.0,56.3,8.6,104.4,5535.0,166341.0,6.04,5.57,10.3,65900.0,2025-02
Andaman and Nicobar Islands,2025-02-05,24.5,45.3,1.78,-63.8,0,10,1273.0,53.9,9.0,116.9,4208.0,171694.0,6.41,4.72,10.4,52730.0,2025-02
Andaman and Nicobar Islands,2025-02-06,20.9,48.1,-0.21,-61.6,0,6,1168.0,40.8,7.5,84.9,5719.0,165945.0,6.82,5.05,9.1,57613.0,2025-02
Andaman and Nicobar Islands,2025-02-07,19.4,32.3,3.64,-74.2,0,5,1058.0,45.1,7.8,139.9,5155.0,167573.0,6.24,6.84,9.0,52538.0,2025-02
Andaman and Nicobar Islands,2025-02-08,21.2,39.8,1.18,-68.2,0,8,951.0,54.5,8.1,118.7,4869.0,169307.0,6.26,5.96,11.3,57295.0,2025-02
Andaman and Nicobar Islands,2025-02-09,22.8,47.9,3.25,-61.7,0,9,1103.0,42.8,8.4,135.6,4766.0,167944.0,6.02,5.41,12.3,68086.0,2025-02
Andaman and Nicobar Islands,2025-02-10,22.9,28.9,3.0,-76.9,0,9,1192.0,49.1,7.1,96.1,4048.0,168149.0,6.05,5.91,10.9,70506.0,2025-02
Andaman and Nicobar Islands,2025-02-11,19.2,44.0,1.35,-64.8,0,6,1036.0,54.9,7.3,86.5,5745.0,167582.0,6.34,5.38,13.0,58038.0,2025-02
Andaman and Nicobar Islands,2025-02-12,22.4,44.1,3.46,-64.8,0,10,1087.0,58.9,10.0,123.3,4237.0,171478.0,6.84,5.73,10.6,66675.0,2025-02
Andaman and Nicobar Islands,2025-02-13,21.7,29.6,1.3,-76.3,0,8,1157.0,41.6,8.2,99.1,5841.0,167756.0,6.81,6.69,12.1,57950.0,2025-02
Andaman and Nicobar Islands,2025-02-14,19.7,32.6,2.81,-74.0,0,10,950.0,49.0,9.0,123.3,4462.0,166532.0,6.65,6.56,8.2,73934.0,2025-02
Andaman and Nicobar Islands,2025-02-15,21.0,46.5,-1.53,-62.8,0,10,1199.0,55.7,9.8,114.0,4094.0,170346.0,6.42,4.61,12.5,47734.0,2025-02
Andaman and Nicobar Islands,2025-02-16,21.3,28.6,1.34,-77.1,0,7,938.0,46.5,6.7,80.2,5249.0,172051.0,6.21,4.8,9.0,48906.0,2025-02
Andaman and Nicobar Islands,2025-02-17,22.0,38.0,3.18,-69.6,0,10,1351.0,57.4,9.0,95.0,4729.0,165784.0,6.24,5.71,10.0,62877.0,2025-02
Andaman and Nicobar Islands,2025-02-18,22.6,27.6,-0.54,-77.9,0,10,1310.0,55.6,8.1,129.3,4372.0,166323.0,6.4,4.6,9.0,68452.0,2025-02
Andaman and Nicobar Islands,2025-02-19,21.7,34.6,1.3,-72.4,0,9,1261.0,52.7,9.2,114.7,5536.0,170988.0,6.67,6.54,10.5,59439.0,2025-02
Andaman and Nicobar Islands,2025-02-20,21.7,27.4,2.14,-78.1,0,5,1191.0,55.0,6.3,116.0,5386.0,168613.0,6.52,5.02,10.7,65697.0,2025-02
Andaman and Nicobar Islands,2025-02-21,22.8,28.7,2.17,-77.1,0,10,1170.0,46.4,9.4,122.2,4533.0,169289.0,6.42,5.34,9.4,67744.0,2025-02
Andaman and Nicobar Islands,2025-02-22,25.0,41.8,0.89,-66.6,0,6,1024.0,50.1,6.6,129.0,5528.0,172334.0,6.97,6.41,8.7,45936.0,2025-02
Andaman and Nicobar Islands,2025-02-23,21.9,29.9,2.81,-76.1,0,7,1279.0,49.0,8.9,95.4,5041.0,171911.0,6.84,5.37,11.5,53739.0,2025-02
Andaman and Nicobar Islands,2025-02-24,22.5,41.0,1.28,-67.2,0,9,1154.0,47.7,9.6,105.1,4480.0,167525.0,6.5,5.14,10.2,59884.0,2025-02
Andaman and Nicobar Islands,2025-02-25,25.9,38.0,-1.14,-69.6,0,7,966.0,51.3,6.4,122.2,5506.0,167695.0,6.26,5.74,12.3,70041.0,2025-02
Andaman and Nicobar Islands,2025-02-26,24.1,46.3,0.82,-63.0,0,9,982.0,50.2,7.1,93.1,4744.0,167944.0,6.46,5.12,12.9,63160.0,2025-02
Andaman and Nicobar Islands,2025-02-27,23.6,45.7,1.35,-63.5,0,7,1200.0,44.5,6.6,135.3,5893.0,170040.0,6.49,4.63,11.2,52317.0,2025-02
Andaman and Nicobar Islands,2025-02-28,23.9,32.4,2.99,-74.1,0,8,941.0,48.0,9.3,124.1,4007.0,167114.0,6.02,5.62,9.9,70894.0,2025-02
Andaman and Nicobar Islands,2025-03-01,24.5,47.1,2.46,-62.4,0,6,3579.0,53.7,6.1,97.0,4884.0,172035.0,6.08,6.24,10.9,53112.0,2025-03
Andaman and Nicobar Islands,2025-03-02,23.4,46.8,-1.25,-62.6,0,5,3292.0,41.6,5.6,88.0,4433.0,167528.0,6.18,6.51,9.8,69522.0,2025-03
Andaman and Nicobar Islands,2025-03-03,23.3,26.8,1.52,-78.6,0,6,2829.0,45.7,7.7,82.2,4499.0,169887.0,6.51,5.39,8.6,69543.0,2025-03
Andaman and Nicobar Islands,2025-03-04,26.6,28.0,2.57,-77.6,0,5,3524.0,48.5,5.6,101.4,4120.0,171463.0,6.28,5.65,12.0,61825.0,2025-03
Andaman and Nicobar Islands,2025-03-05,22.7,40.4,1.59,-67.7,0,9,2843.0,49.4,7.1,101.9,4090.0,167873.0,6.05,4.91,10.4,63160.0,2025-03
Andaman and Nicobar Islands,2025-03-06,25.2,35.3,-1.11,-71.8,0,6,2958.0,50.8,8.2,82.1,4911.0,168483.0,6.17,4.82,10.7,67634.0,2025-03
Andaman and Nicobar Islands,2025-03-07,25.1,37.7,2.79,-69.9,0,10,3600.0,49.9,7.7,138.3,5078.0,167238.0,6.83,5.24,9.8,47810.0,2025-03
Andaman and Nicobar Islands,2025-03-08,23.0,38.3,3.15,-69.4,0,8,3608.0,40.8,6.8,123.2,5418.0,172248.0,6.83,6.84,12.6,63739.0,2025-03
Andaman and Nicobar Islands,2025-03-09,23.8,45.4,0.89,-63.7,0,5,3376.0,40.2,6.4,87.0,5351.0,171046.0,6.5,5.15,8.4,58327.0,2025-03
Andaman and Nicobar Islands,2025-03-10,25.0,45.4,0.72,-63.7,0,8,3719.0,48.8,8.0,115.0,4663.0,169887.0,6.04,6.15,10.2,50271.0,2025-03
Andaman and Nicobar Islands,2025-03-11,22.6,30.0,1.9,-76.0,0,5,3629.0,54.9,5.8,123.1,5478.0,168199.0,6.93,4.61,8.4,48560.0,2025-03
Andaman and Nicobar Islands,2025-03-12,25.8,33.8,3.42,-73.0,0,6,2883.0,40.4,6.5,127.9,5613.0,165887.0,6.33,5.39,10.3,55731.0,2025-03
Andaman and Nicobar Islands,2025-03-13,23.3,48.7,1.42,-61.1,0,9,3145.0,49.2,8.2,119.1,5397.0,166526.0,6.83,4.84,12.6,51772.0,2025-03
Andaman and Nicobar Islands,2025-03-14,23.0,26.3,3.37,-79.0,0,8,2748.0,48.3,8.0,119.7,5437.0,168200.0,6.65,6.71,12.4,58271.0,2025-03
Andaman and Nicobar Islands,2025-03-15,25.0,37.9,2.9,-69.7,0,6,2799.0,51.9,6.1,84.6,4294.0,170733.0,6.73,4.77,9.7,73761.0,2025-03
Andaman and Nicobar Islands,2025-03-16,23.3,38.2,-0.0,-69.4,0,6,2711.0,54.5,7.8,113.9,5422.0,171285.0,6.32,5.97,9.6,56546.0,2025-03
Andaman and Nicobar Islands,2025-03-17,25.8,42.2,-1.59,-66.3,0,10,3244.0,48.6,10.4,99.5,5815.0,170981.0,6.95,6.54,10.3,59337.0,2025-03
Andaman and Nicobar Islands,2025-03-18,24.3,27.9,0.62,-77.7,0,8,3358.0,49.4,7.2,101.6,4860.0,172414.0,6.01,6.47,10.9,56828.0,2025-03
Andaman and Nicobar Islands,2025-03-19,25.2,39.4,3.26,-68.5,0,9,3731.0,50.4,9.0,106.6,4447.0,165996.0,6.17,5.0,9.2,74998.0,2025-03
Andaman and Nicobar Islands,2025-03-20,26.2,35.4,-0.7,-71.7,0,5,2830.0,53.4,6.5,120.1,4629.0,166361.0,6.18,6.01,11.1,70886.0,2025-03
Andaman and Nicobar Islands,2025-03-21,25.3,34.2,0.89,-72.6,0,5,3050.0,47.8,6.5,95.1,4790.0,171384.0,6.96,5.3,11.9,65261.0,2025-03
Andaman and Nicobar Islands,2025-03-22,25.8,29.4,3.82,-76.5,0,6,3506.0,46.4,8.3,125.1,4889.0,170975.0,6.38,5.59,9.1,59704.0,2025-03
Andaman and Nicobar Islands,2025-03-23,25.4,27.2,1.07,-78.2,0,5,3382.0,45.7,6.4,110.5,4327.0,170852.0,6.43,4.69,8.8,71150.0,2025-03
Andaman and Nicobar Islands,2025-03-24,25.0,31.7,0.25,-74.6,0,9,3538.0,43.0,9.3,101.6,4370.0,171242.0,6.96,4.61,9.0,69697.0,2025-03
Andaman and Nicobar Islands,2025-03-25,25.3,29.4,0.08,-76.5,0,6,3048.0,40.9,6.9,115.8,4680.0,168391.0,6.15,6.85,10.2,61688.0,2025-03
Andaman and Nicobar Islands,2025-03-26,25.9,32.5,-0.51,-74.0,0,7,3714.0,46.3,8.1,133.2,4462.0,172441.0,6.57,6.89,10.7,68235.0,2025-03
Andaman and Nicobar Islands,2025-03-27,24.9,46.4,0.4,-62.9,0,6,2874.0,51.4,6.0,128.0,4879.0,168892.0,6.25,6.78,9.8,62544.0,2025-03
Andaman and Nicobar Islands,2025-03-28,23.8,47.3,2.86,-62.2,0,6,2873.0,58.4,7.7,125.5,5732.0,170635.0,6.23,5.69,9.5,68724.0,2025-03
Andaman and Nicobar Islands,2025-03-29,24.9,42.5,-1.4,-66.0,0,5,2822.0,52.1,5.4,120.4,5967.0,170704.0,6.6,5.62,11.4,73588.0,2025-03
Andaman and Nicobar Islands,2025-03-30,26.7,41.1,-0.56,-67.1,0,10,2871.0,58.3,9.9,100.0,4838.0,172469.0,6.49,6.83,11.0,58674.0,2025-03
Andaman and Nicobar Islands,2025-03-31,25.6,46.0,1.13,-63.2,0,10,3071.0,47.0,9.9,114.7,5682.0,172286.0,6.69,5.67,9.6,46590.0,2025-03
Andaman and Nicobar Islands,2025-04-01,24.4,29.9,1.15,-76.1,0,5,3316.0,41.1,5.4,118.5,4294.0,171409.0,6.96,6.53,11.7,53875.0,2025-04
Andaman and Nicobar Islands,2025-04-02,26.2,42.0,1.97,-66.4,0,10,2827.0,53.6,9.9,91.2,5756.0,170069.0,6.26,5.86,12.6,48282.0,2025-04
Andaman and Nicobar Islands,2025-04-03,27.5,36.4,-0.05,-70.9,0,10,3084.0,49.3,8.4,107.0,4103.0,167503.0,6.32,6.93,9.4,45387.0,2025-04
Andaman and Nicobar Islands,2025-04-04,26.3,37.5,2.64,-70.0,0,10,3580.0,47.3,9.9,86.6,5611.0,172268.0,6.94,6.46,12.0,73981.0,2025-04
Andaman and Nicobar Islands,2025-04-05,25.9,31.5,-0.82,-74.8,0,5,3543.0,57.0,5.1,115.7,5102.0,171613.0,6.2,6.82,8.0,72640.0,2025-04
Andaman and Nicobar Islands,2025-04-06,26.6,38.2,2.98,-69.4,0,7,3321.0,43.6,7.8,82.8,4076.0,172104.0,6.67,5.06,11.0,60611.0,2025-04
Andaman and Nicobar Islands,2025-04-07,28.7,44.7,-0.45,-64.3,0,7,3646.0,55.6,6.8,132.1,5658.0,170793.0,6.9,6.76,9.1,62359.0,2025-04
Andaman and Nicobar Islands,2025-04-08,24.6,31.4,2.08,-74.9,0,9,3433.0,47.6,8.8,112.6,5916.0,168557.0,6.6,5.67,10.1,53996.0,2025-04
Andaman and Nicobar Islands,2025-04-09,24.8,37.2,0.09,-70.3,0,7,2755.0,51.9,8.7,92.8,5028.0,167056.0,6.98,5.97,12.3,66612.0,2025-04
Andaman and Nicobar Islands,2025-04-10,25.8,32.6,2.33,-73.9,0,6,3265.0,52.9,6.5,110.7,5004.0,168623.0,6.41,6.84,8.1,68012.0,2025-04
Andaman and Nicobar Islands,2025-04-11,26.2,42.4,2.64,-66.1,0,10,3026.0,44.0,10.2,103.9,5957.0,171754.0,6.43,6.02,8.2,46708.0,2025-04
Andaman and Nicobar Islands,2025-04-12,27.2,28.0,2.74,-77.6,0,8,3233.0,56.7,7.4,136.2,4477.0,171591.0,6.11,6.14,11.1,47043.0,2025-04
Andaman and Nicobar Islands,2025-04-13,27.9,31.4,1.35,-74.9,0,8,3387.0,46.7,9.2,123.8,5891.0,165846.0,6.07,4.71,10.3,51098.0,2025-04
Andaman and Nicobar Islands,2025-04-14,26.2,30.0,1.75,-76.0,0,6,3152.0,57.0,7.9,107.2,5272.0,171284.0,6.67,5.07,8.5,71337.0,2025-04
Andaman and Nicobar Islands,2025-04-15,26.1,40.6,2.52,-67.6,0,9,3053.0,47.5,8.1,125.8,4357.0,169462.0,6.8,6.53,11.2,70795.0,2025-04
Andaman and Nicobar Islands,2025-04-16,26.9,28.6,2.78,-77.1,0,9,3460.0,59.8,7.6,106.1,4099.0,170933.0,6.9,6.64,8.7,49678.0,2025-04
Andaman and Nicobar Islands,2025-04-17,26.0,36.2,-0.97,-71.1,0,6,3063.0,48.6,5.8,102.4,5022.0,170730.0,6.15,5.23,9.4,67951.0,2025-04
Andaman and Nicobar Islands,2025-04-18,25.0,46.5,-0.16,-62.8,0,8,3705.0,43.2,8.7,104.0,5050.0,171869.0,6.25,5.19,12.7,67933.0,2025-04
Andaman and Nicobar Islands,2025-04-19,30.4,42.4,1.1,-66.1,0,9,3075.0,57.6,8.3,106.2,5265.0,166912.0,6.01,6.02,11.6,59697.0,2025-04
Andaman and Nicobar Islands,2025-04-20,25.5,48.2,-1.6,-61.5,0,9,3259.0,50.5,7.2,108.0,5275.0,166628.0,6.89,6.62,9.5,61384.0,2025-04
Andaman and Nicobar Islands,2025-04-21,27.9,41.0,-1.63,-67.2,0,9,3184.0,58.8,9.9,94.7,5662.0,167577.0,6.13,4.86,9.4,61319.0,2025-04
Andaman and Nicobar Islands,2025-04-22,29.0,36.0,1.33,-71.2,0,5,2947.0,50.1,5.6,129.9,5607.0,167288.0,6.13,6.03,10.4,51842.0,2025-04
Andaman and Nicobar Islands,2025-04-23,28.6,45.5,-0.8,-63.7,0,5,2796.0,51.0,7.0,125.1,5190.0,171580.0,6.42,4.65,11.7,53360.0,2025-04
Andaman and Nicobar Islands,2025-04-24,27.4,28.0,1.13,-77.6,0,10,2700.0,40.6,9.2,96.7,4707.0,167367.0,6.94,5.72,10.4,60100.0,2025-04
Andaman and Nicobar Islands,2025-04-25,27.9,39.7,2.65,-68.3,0,8,3279.0,53.8,9.3,123.1,5555.0,169583.0,6.02,6.97,10.5,73787.0,2025-04
Andaman and Nicobar Islands,2025-04-26,30.1,32.9,3.79,-73.7,0,6,3060.0,58.5,8.1,108.6,4676.0,167865.0,6.73,5.5,11.1,65347.0,2025-04
Andaman and Nicobar Islands,2025-04-27,32.2,39.2,3.23,-68.7,0,5,2977.0,46.5,7.4,135.9,5849.0,166841.0,6.8,6.86,9.1,57780.0,2025-04
Andaman and Nicobar Islands,2025-04-28,28.0,44.7,1.13,-64.3,0,5,2714.0,57.4,5.4,126.5,4722.0,169061.0,6.76,5.45,8.6,70918.0,2025-04
Andaman and Nicobar Islands,2025-04-29,27.6,39.3,-1.56,-68.6,0,6,3454.0,54.1,5.8,96.8,5922.0,171142.0,6.69,6.43,9.9,47017.0,2025-04
Andaman and Nicobar Islands,2025-04-30,25.9,28.1,1.28,-77.6,0,9,2791.0,53.7,7.5,103.4,4013.0,167724.0,6.33,5.46,10.1,47594.0,2025-04
Andaman and Nicobar Islands,2025-05-01,27.6,37.9,-1.65,-69.7,0,6,3716.0,47.4,6.5,127.9,4725.0,168610.0,6.27,5.04,12.1,70185.0,2025-05
Andaman and Nicobar Islands,2025-05-02,27.1,40.8,2.43,-67.4,0,6,3277.0,43.7,5.7,101.3,4075.0,172129.0,6.51,5.74,11.4,69363.0,2025-05
Andaman and Nicobar Islands,2025-05-03,29.5,37.7,0.58,-69.9,0,9,3258.0,51.5,8.2,130.0,4280.0,167286.0,6.71,6.4,9.0,52915.0,2025-05
Andaman and Nicobar Islands,2025-05-04,28.9,40.5,-0.51,-67.7,0,10,3162.0,48.2,9.4,136.2,4549.0,167927.0,6.12,6.46,8.9,67040.0,2025-05
Andaman and Nicobar Islands,2025-05-05,27.3,33.6,-0.38,-73.2,0,8,3686.0,52.9,9.4,101.5,5823.0,166311.0,6.35,4.97,11.2,69255.0,2025-05
Andaman and Nicobar Islands,2025-05-06,30.1,26.8,3.76,-78.6,0,9,3714.0,41.1,7.3,96.8,5551.0,166649.0,6.46,6.15,11.5,67673.0,2025-05
Andaman and Nicobar Islands,2025-05-07,27.3,36.7,3.48,-70.6,0,6,2754.0,49.7,6.3,111.5,4047.0,171645.0,6.34,5.35,11.1,57829.0,2025-05
Andaman and Nicobar Islands,2025-05-08,29.8,45.7,2.24,-63.5,0,7,3287.0,52.0,6.4,135.3,4209.0,166848.0,6.22,5.48,12.0,71745.0,2025-05
Andaman and Nicobar Islands,2025-05-09,30.4,41.8,3.19,-66.6,0,5,2779.0,52.1,6.1,133.2,4648.0,166634.0,6.49,5.38,8.0,66168.0,2025-05
Andaman and Nicobar Islands,2025-05-10,26.6,47.4,-0.99,-62.1,0,5,3440.0,51.8,7.2,122.2,5337.0,169972.0,6.86,5.74,10.1,63480.0,2025-05
Andaman and Nicobar Islands,2025-05-11,27.0,33.9,1.13,-72.9,0,5,3228.0,44.2,6.5,91.7,4521.0,171145.0,6.94,4.86,9.3,70349.0,2025-05
Andaman and Nicobar Islands,2025-05-12,30.6,39.6,3.22,-68.3,0,8,3058.0,51.1,6.9,122.4,5193.0,170772.0,6.75,5.8,10.4,69455.0,2025-05
Andaman and Nicobar Islands,2025-05-13,29.9,47.8,2.44,-61.8,0,9,2936.0,44.1,8.2,116.5,4718.0,170021.0,6.38,5.04,10.1,69764.0,2025-05
Andaman and Nicobar Islands,2025-05-14,26.6,26.7,0.93,-78.6,0,7,2846.0,48.1,6.1,100.2,5068.0,168479.0,6.32,6.06,9.1,68400.0,2025-05
Andaman and Nicobar Islands,2025-05-15,28.0,48.0,-1.02,-61.6,0,5,3410.0,54.8,6.8,125.8,5973.0,171715.0,6.08,4.57,8.6,59608.0,2025-05
Andaman and Nicobar Islands,2025-05-16,29.6,36.5,0.9,-70.8,0,10,3343.0,51.8,8.5,121.5,5389.0,170260.0,6.32,6.97,12.1,53905.0,2025-05
