state,date,month,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr,year,month_num,quarter,season,climate_stress,agri_stress,econ_stress
Arunachal Pradesh,2024-06-29,2024-06,31.7,103.2,4.75,12.6,0,0,18448.0,54.8,2.9,135.4,4687.0,308869.0,6.41,5.46,10.6,61773781.0,2024,6,2,Monsoon,5.38,7.42,11.870000000000001
Arunachal Pradesh,2024-07-29,2024-07,26.8,265.2,-0.16,189.3,0,0,20437.0,52.2,7.1,112.6,5486.0,310372.0,6.77,4.96,7.2,62074468.0,2024,7,3,Monsoon,9.625,11.879999999999999,11.73
Arunachal Pradesh,2024-08-28,2024-08,28.5,96.4,1.48,5.1,0,0,16865.0,51.4,0.3,95.0,4963.0,311883.0,6.51,5.02,10.1,62376618.0,2024,8,3,Monsoon,1.7349999999999999,5.16,11.53
Arunachal Pradesh,2024-09-27,2024-09,24.3,0.0,-2.73,-100.0,0,10,16862.0,48.3,25.5,107.6,5305.0,313401.0,6.17,4.92,6.3,62680240.0,2024,9,3,Monsoon,7.73,30.67,11.09
Arunachal Pradesh,2024-10-27,2024-10,19.7,0.0,-7.29,-100.0,0,10,13343.0,59.2,28.2,109.2,4965.0,314927.0,6.52,5.28,8.5,62985339.0,2024,10,4,Post-Monsoon,12.29,32.28,11.8
Arunachal Pradesh,2024-11-26,2024-11,21.1,120.7,-5.92,31.7,0,0,8014.0,56.0,6.3,105.4,4362.0,316460.0,5.98,4.84,10.0,63291923.0,2024,11,4,Post-Monsoon,7.505,10.7,10.82
Assam,2024-01-01,2024-01,20.4,300.3,-3.64,28.7,0,0,9405.0,54.8,8.2,113.6,5014.0,300000.0,6.29,5.78,11.2,60000000.0,2024,1,1,Winter,5.075,12.719999999999999,12.07
Assam,2024-01-31,2024-01,22.1,563.8,-1.85,141.6,0,0,12071.0,52.4,7.8,101.9,4769.0,301460.0,5.83,6.47,7.0,60292053.0,2024,1,1,Winter,8.93,12.559999999999999,12.3
Assam,2024-03-01,2024-03,22.6,276.2,-1.35,18.4,0,0,10957.0,56.1,4.1,90.4,5628.0,302928.0,5.99,6.61,9.5,60585528.0,2024,3,1,Summer,2.27,8.489999999999998,12.600000000000001
Assam,2024-03-31,2024-03,28.6,0.0,4.56,-100.0,0,10,9853.0,52.8,4.4,128.9,5098.0,304402.0,5.82,6.76,10.7,60880431.0,2024,3,1,Summer,9.559999999999999,9.120000000000001,12.58
Assam,2024-04-30,2024-04,26.7,0.0,2.65,-100.0,0,10,6032.0,56.3,20.5,117.8,5041.0,305884.0,5.78,6.18,12.5,61176769.0,2024,4,2,Summer,7.65,24.87,11.96
Assam,2024-05-30,2024-05,29.7,301.6,5.66,29.3,0,0,18196.0,62.0,3.4,146.0,4819.0,307373.0,6.69,5.91,10.4,61474550.0,2024,5,2,Summer,7.125,7.199999999999999,12.600000000000001
Assam,2024-06-29,2024-06,27.4,602.0,3.37,158.0,0,0,13663.0,62.9,9.4,89.5,4790.0,308869.0,5.75,5.88,9.6,61773781.0,2024,6,2,Monsoon,11.27,13.11,11.629999999999999
Assam,2024-07-29,2024-07,24.3,408.7,0.29,75.2,0,0,14155.0,50.4,1.0,79.9,4616.0,310372.0,5.88,5.06,7.6,62074468.0,2024,7,3,Monsoon,4.05,5.96,10.94
Assam,2024-08-28,2024-08,25.6,328.3,1.63,40.7,0,0,14896.0,62.8,5.7,80.0,5492.0,311883.0,5.54,4.68,8.9,62376618.0,2024,8,3,Monsoon,3.665,9.42,10.219999999999999
Assam,2024-09-27,2024-09,21.4,0.0,-2.64,-100.0,0,10,14358.0,58.4,24.9,77.5,5191.0,313401.0,5.64,5.0,12.0,62680240.0,2024,9,3,Monsoon,7.640000000000001,29.06,10.64
Assam,2024-10-27,2024-10,20.4,0.0,-3.61,-100.0,0,10,12399.0,56.4,26.5,149.1,4681.0,314927.0,5.71,5.01,10.0,62985339.0,2024,10,4,Post-Monsoon,8.61,30.86,10.719999999999999
Assam,2024-11-26,2024-11,19.7,341.0,-4.28,46.1,0,0,10726.0,52.2,3.1,87.3,5595.0,316460.0,6.24,5.32,10.5,63291923.0,2024,11,4,Post-Monsoon,6.585000000000001,7.879999999999999,11.56
Bihar,2024-01-01,2024-01,22.6,368.0,-4.4,301.4,0,0,15409.0,50.8,3.3,109.4,4724.0,200000.0,8.74,6.13,14.5,40000000.0,2024,1,1,Winter,19.47,8.219999999999999,14.870000000000001
Bihar,2024-01-31,2024-01,19.3,312.2,-7.74,240.6,0,0,13519.0,47.4,5.6,131.0,5898.0,200974.0,8.94,6.77,12.8,40194702.0,2024,1,1,Winter,19.77,10.86,15.709999999999999
Bihar,2024-03-01,2024-03,27.2,83.4,0.17,-9.0,0,0,10529.0,56.4,3.8,106.7,5329.0,201952.0,8.84,7.3,14.9,40390352.0,2024,3,1,Summer,0.62,8.16,16.14
Bihar,2024-03-31,2024-03,29.7,0.0,2.68,-100.0,0,10,16824.0,51.0,4.5,72.4,4635.0,202935.0,9.68,7.26,10.0,40586954.0,2024,3,1,Summer,7.68,9.4,16.939999999999998
Bihar,2024-04-30,2024-04,30.9,0.0,3.89,-100.0,0,10,4967.0,52.4,30.4,104.5,4992.0,203923.0,8.65,7.58,12.3,40784513.0,2024,4,2,Summer,8.89,35.16,16.23
Bihar,2024-05-30,2024-05,35.0,77.4,7.96,-15.5,0,0,18565.0,52.3,12.6,90.2,5522.0,204915.0,9.23,6.6,14.1,40983034.0,2024,5,2,Summer,8.735,17.37,15.83
Bihar,2024-06-29,2024-06,29.7,212.7,2.71,132.1,0,0,17046.0,57.9,10.5,92.8,5295.0,205913.0,8.2,7.02,16.7,41182521.0,2024,6,2,Monsoon,9.315,14.71,15.219999999999999
Bihar,2024-07-29,2024-07,31.3,275.1,4.33,200.2,0,0,18326.0,57.5,7.5,121.3,5585.0,206915.0,8.12,5.84,14.5,41382979.0,2024,7,3,Monsoon,14.34,11.75,13.959999999999999
Bihar,2024-08-28,2024-08,25.9,105.8,-1.06,15.4,0,0,19146.0,54.2,6.9,102.9,5603.0,207922.0,8.31,5.62,12.8,41584412.0,2024,8,3,Monsoon,1.83,11.48,13.93
Bihar,2024-09-27,2024-09,24.7,0.0,-2.31,-100.0,0,10,12549.0,53.0,26.1,100.6,5639.0,208934.0,7.54,5.5,11.4,41786827.0,2024,9,3,Monsoon,7.3100000000000005,30.8,13.04
Bihar,2024-10-27,2024-10,21.3,0.0,-5.73,-100.0,0,10,12459.0,48.2,25.1,114.9,5323.0,209951.0,8.25,6.07,10.2,41990226.0,2024,10,4,Post-Monsoon,10.73,30.28,14.32
Bihar,2024-11-26,2024-11,21.2,51.4,-5.78,-43.9,0,10,17192.0,56.1,24.1,105.0,5789.0,210973.0,8.91,5.92,12.2,42194616.0,2024,11,4,Post-Monsoon,7.975,28.490000000000002,14.83
Chhattisgarh,2024-01-01,2024-01,23.3,270.1,-3.74,194.6,0,0,11771.0,58.0,5.8,103.7,4777.0,300000.0,6.4,5.9,10.1,60000000.0,2024,1,1,Winter,13.47,10.0,12.3
Chhattisgarh,2024-01-31,2024-01,24.5,232.8,-2.49,154.0,0,0,12466.0,49.9,8.2,102.7,4650.0,301460.0,6.48,6.2,7.8,60292053.0,2024,1,1,Winter,10.190000000000001,13.209999999999999,12.68
Chhattisgarh,2024-03-01,2024-03,24.2,80.1,-2.83,-12.6,0,0,14868.0,52.2,0.4,107.5,5783.0,302928.0,5.46,6.42,14.9,60585528.0,2024,3,1,Summer,3.46,5.18,11.879999999999999
Chhattisgarh,2024-03-31,2024-03,28.8,0.0,1.81,-100.0,0,10,11842.0,64.4,3.3,71.0,3901.0,304402.0,6.62,6.39,6.4,60880431.0,2024,3,1,Summer,6.8100000000000005,6.859999999999999,13.01
Chhattisgarh,2024-04-30,2024-04,31.0,0.0,4.01,-100.0,0,10,5440.0,49.9,23.5,114.2,5122.0,305884.0,6.24,6.83,10.1,61176769.0,2024,4,2,Summer,9.01,28.509999999999998,13.07
Chhattisgarh,2024-05-30,2024-05,35.8,96.5,8.77,5.2,0,0,13308.0,59.4,1.2,113.0,4950.0,307373.0,5.87,6.26,9.7,61474550.0,2024,5,2,Summer,9.03,5.260000000000001,12.129999999999999
Chhattisgarh,2024-06-29,2024-06,31.8,244.8,4.85,167.1,0,0,20540.0,47.4,1.8,86.2,4977.0,308869.0,6.04,5.13,8.5,61773781.0,2024,6,2,Monsoon,13.205,7.06,11.17
Chhattisgarh,2024-07-29,2024-07,25.7,248.4,-1.34,171.0,0,0,15730.0,56.8,4.3,75.0,5722.0,310372.0,5.57,5.35,15.0,62074468.0,2024,7,3,Monsoon,9.89,8.620000000000001,10.92
Chhattisgarh,2024-08-28,2024-08,27.1,159.4,0.12,73.9,0,0,14754.0,56.7,8.4,109.1,5285.0,311883.0,6.18,4.84,10.8,62376618.0,2024,8,3,Monsoon,3.8150000000000004,12.73,11.02
Chhattisgarh,2024-09-27,2024-09,24.1,0.0,-2.88,-100.0,0,10,16343.0,61.6,26.9,103.9,5355.0,313401.0,6.24,4.93,10.2,62680240.0,2024,9,3,Monsoon,7.88,30.74,11.17
Chhattisgarh,2024-10-27,2024-10,22.6,0.0,-4.4,-100.0,0,10,11785.0,51.6,29.3,136.0,4980.0,314927.0,7.03,4.59,9.9,62985339.0,2024,10,4,Post-Monsoon,9.4,34.14,11.620000000000001
Chhattisgarh,2024-11-26,2024-11,24.3,112.3,-2.71,22.6,0,0,8566.0,51.6,5.4,116.8,4674.0,316460.0,5.54,5.47,7.2,63291923.0,2024,11,4,Post-Monsoon,3.84,10.24,11.01
Goa,2024-01-01,2024-01,25.3,413.9,-2.75,98.7,0,0,10929.0,52.7,0.0,51.5,4208.0,300000.0,5.79,5.71,11.0,60000000.0,2024,1,1,Winter,7.6850000000000005,4.7299999999999995,11.5
Goa,2024-01-31,2024-01,28.3,329.8,0.31,58.3,0,0,13825.0,57.1,7.4,80.7,4976.0,301460.0,6.46,5.93,9.1,60292053.0,2024,1,1,Winter,3.225,11.690000000000001,12.39
Goa,2024-03-01,2024-03,29.2,345.2,1.17,65.7,0,0,11991.0,62.5,1.5,117.5,4890.0,302928.0,5.65,6.29,8.6,60585528.0,2024,3,1,Summer,4.455,5.25,11.940000000000001
Goa,2024-03-31,2024-03,28.5,0.0,0.52,-100.0,0,10,12065.0,44.8,5.6,95.1,4659.0,304402.0,5.85,7.53,9.9,60880431.0,2024,3,1,Summer,5.52,11.120000000000001,13.379999999999999
Goa,2024-04-30,2024-04,32.5,0.0,4.53,-100.0,0,10,3998.0,64.0,24.2,112.8,4714.0,305884.0,5.31,6.5,11.0,61176769.0,2024,4,2,Summer,9.530000000000001,27.8,11.809999999999999
Goa,2024-05-30,2024-05,29.9,212.6,1.9,2.1,0,0,16718.0,59.6,9.2,101.2,4677.0,307373.0,7.04,5.82,5.2,61474550.0,2024,5,2,Summer,2.005,13.239999999999998,12.86
Goa,2024-06-29,2024-06,30.2,650.0,2.21,212.0,0,0,17095.0,59.5,6.2,112.7,5525.0,308869.0,6.94,5.92,7.3,61773781.0,2024,6,2,Monsoon,12.809999999999999,10.25,12.86
Goa,2024-07-29,2024-07,28.7,833.8,0.66,300.2,0,0,13394.0,56.0,9.0,141.5,4655.0,310372.0,6.27,4.51,9.0,62074468.0,2024,7,3,Monsoon,15.67,13.4,10.78
Goa,2024-08-28,2024-08,26.4,188.2,-1.57,-9.7,0,0,20208.0,51.7,5.6,90.3,4840.0,311883.0,6.16,5.21,7.0,62376618.0,2024,8,3,Monsoon,2.055,10.43,11.370000000000001
Goa,2024-09-27,2024-09,27.1,0.0,-0.87,-100.0,0,10,16272.0,52.1,26.6,99.5,6071.0,313401.0,6.04,4.52,9.5,62680240.0,2024,9,3,Monsoon,5.87,31.39,10.559999999999999
Goa,2024-10-27,2024-10,24.1,0.0,-3.88,-100.0,0,10,16146.0,55.2,26.3,102.4,5307.0,314927.0,5.55,4.81,7.0,62985339.0,2024,10,4,Post-Monsoon,8.879999999999999,30.78,10.36
Goa,2024-11-26,2024-11,19.8,219.9,-8.21,5.5,0,0,9545.0,46.7,4.2,108.0,5324.0,316460.0,6.33,5.56,8.5,63291923.0,2024,11,4,Post-Monsoon,8.485000000000001,9.530000000000001,11.89
Gujarat,2024-01-01,2024-01,28.2,112.4,-3.81,237.3,0,0,13008.0,28.9,9.7,70.7,6112.0,500000.0,4.52,4.77,6.2,100000000.0,2024,1,1,Winter,15.675,16.81,9.29
Gujarat,2024-01-31,2024-01,27.0,55.0,-4.97,65.0,0,0,17416.0,32.7,10.1,121.6,5981.0,502434.0,4.47,6.49,4.5,100486755.0,2024,1,1,Winter,8.219999999999999,16.83,10.96
Gujarat,2024-03-01,2024-03,33.0,36.3,1.04,8.9,0,0,13903.0,38.3,7.7,68.5,6738.0,504879.0,5.23,6.37,7.3,100975879.0,2024,3,1,Summer,1.485,13.870000000000001,11.600000000000001
Gujarat,2024-03-31,2024-03,35.0,0.0,3.0,-100.0,0,10,18375.0,37.0,3.1,109.9,6130.0,507337.0,5.38,6.31,7.5,101467385.0,2024,3,1,Summer,8.0,9.4,11.69
Gujarat,2024-04-30,2024-04,35.0,0.0,2.97,-100.0,0,10,5340.0,34.9,23.0,123.5,6272.0,509806.0,4.47,6.43,8.9,101961282.0,2024,4,2,Summer,7.970000000000001,29.509999999999998,10.899999999999999
Gujarat,2024-05-30,2024-05,37.6,26.2,5.59,-21.4,0,10,16666.0,20.8,27.3,123.0,5130.0,512288.0,4.19,5.3,6.3,102457584.0,2024,5,2,Summer,6.66,35.22,9.49
Gujarat,2024-06-29,2024-06,40.1,104.0,8.06,212.0,0,0,16695.0,28.5,1.6,123.2,5766.0,514782.0,4.1,5.18,9.2,102956301.0,2024,6,2,Monsoon,18.66,8.75,9.28
Gujarat,2024-07-29,2024-07,35.8,64.4,3.81,93.3,0,0,19247.0,37.4,4.9,101.5,5359.0,517287.0,4.27,4.69,6.9,103457446.0,2024,7,3,Monsoon,8.475,11.16,8.96
Gujarat,2024-08-28,2024-08,33.6,44.9,1.57,34.8,0,0,21587.0,27.2,3.5,91.4,6750.0,519805.0,4.92,3.66,5.5,103961031.0,2024,8,3,Monsoon,3.3099999999999996,10.78,8.58
Gujarat,2024-09-27,2024-09,27.9,0.0,-4.14,-100.0,0,10,21061.0,33.3,24.0,93.6,7038.0,522335.0,4.61,4.56,5.8,104467066.0,2024,9,3,Monsoon,9.14,30.67,9.17
Gujarat,2024-10-27,2024-10,28.5,0.0,-3.5,-100.0,0,10,15500.0,40.2,26.3,104.8,5870.0,524878.0,3.56,4.52,5.5,104975565.0,2024,10,4,Post-Monsoon,8.5,32.28,8.08
Gujarat,2024-11-26,2024-11,30.8,30.9,-1.21,-7.4,0,0,13835.0,34.8,4.8,114.6,6026.0,527433.0,3.91,4.51,6.4,105486539.0,2024,11,4,Post-Monsoon,1.58,11.32,8.42
Haryana,2024-01-01,2024-01,26.2,66.8,-5.84,100.3,0,0,34396.0,85.4,4.8,60.0,12958.0,300000.0,5.7,5.14,10.8,60000000.0,2024,1,1,Winter,10.855,6.26,10.84
Haryana,2024-01-31,2024-01,27.9,89.0,-4.13,166.9,0,0,32079.0,70.5,8.0,141.8,12430.0,301460.0,6.64,6.5,6.7,60292053.0,2024,1,1,Winter,12.475000000000001,10.95,13.14
Haryana,2024-03-01,2024-03,32.7,36.1,0.68,8.3,0,0,36649.0,88.1,1.9,78.9,12188.0,302928.0,5.9,6.66,10.2,60585528.0,2024,3,1,Summer,1.0950000000000002,3.0900000000000007,12.56
Haryana,2024-03-31,2024-03,36.2,0.0,4.15,-100.0,0,10,41484.0,86.1,4.4,117.4,12748.0,304402.0,6.33,6.58,9.2,60880431.0,2024,3,1,Summer,9.15,5.790000000000001,12.91
Haryana,2024-04-30,2024-04,39.2,0.0,7.24,-100.0,0,10,12876.0,97.0,26.1,98.8,12601.0,305884.0,6.23,7.1,10.4,61176769.0,2024,4,2,Summer,12.24,26.400000000000002,13.33
Haryana,2024-05-30,2024-05,42.4,39.6,10.44,18.8,0,0,45380.0,90.9,8.3,112.8,11928.0,307373.0,6.39,6.33,11.8,61474550.0,2024,5,2,Summer,11.379999999999999,9.21,12.719999999999999
Haryana,2024-06-29,2024-06,34.2,104.2,2.19,212.7,0,0,49751.0,86.5,1.6,84.9,12468.0,308869.0,6.2,5.54,11.8,61773781.0,2024,6,2,Monsoon,12.825,2.95,11.74
Haryana,2024-07-29,2024-07,34.1,110.6,2.05,231.7,0,0,39966.0,87.1,6.0,132.3,12727.0,310372.0,6.35,5.17,8.0,62074468.0,2024,7,3,Monsoon,13.634999999999998,7.290000000000001,11.52
Haryana,2024-08-28,2024-08,32.9,32.6,0.95,-2.2,0,0,35669.0,90.9,7.9,75.4,12799.0,311883.0,6.15,5.07,9.4,62376618.0,2024,8,3,Monsoon,1.06,8.81,11.22
Haryana,2024-09-27,2024-09,27.8,0.0,-4.19,-100.0,0,10,42759.0,91.9,24.1,97.0,12563.0,313401.0,6.16,5.31,11.1,62680240.0,2024,9,3,Monsoon,9.190000000000001,24.91,11.469999999999999
Haryana,2024-10-27,2024-10,26.8,0.0,-5.22,-100.0,0,10,28962.0,79.5,25.0,71.2,13297.0,314927.0,6.1,5.22,6.9,62985339.0,2024,10,4,Post-Monsoon,10.219999999999999,27.05,11.32
Haryana,2024-11-26,2024-11,27.4,20.9,-4.57,-37.4,0,10,24918.0,74.2,22.0,87.2,11838.0,316460.0,6.2,5.84,8.6,63291923.0,2024,11,4,Post-Monsoon,6.44,24.58,12.04
Himachal Pradesh,2024-01-01,2024-01,11.0,304.8,-3.98,204.8,0,0,15941.0,51.6,8.0,145.0,5491.0,300000.0,5.58,5.6,6.8,60000000.0,2024,1,1,Winter,14.22,12.84,11.18
Himachal Pradesh,2024-01-31,2024-01,10.7,285.8,-4.27,185.8,0,0,11220.0,66.5,0.0,72.2,4177.0,301460.0,5.61,6.19,6.2,60292053.0,2024,1,1,Winter,13.56,3.35,11.8
Himachal Pradesh,2024-03-01,2024-03,15.1,65.7,0.12,-34.3,0,10,14454.0,61.9,32.3,111.3,5297.0,302928.0,6.01,6.94,7.2,60585528.0,2024,3,1,Summer,1.835,36.11,12.95
Himachal Pradesh,2024-03-31,2024-03,18.2,0.0,3.22,-100.0,0,10,14048.0,56.4,27.3,102.1,4969.0,304402.0,6.76,6.95,11.1,60880431.0,2024,3,1,Summer,8.22,31.66,13.71
Himachal Pradesh,2024-04-30,2024-04,21.5,0.0,6.5,-100.0,0,10,4246.0,46.5,24.2,98.0,4506.0,305884.0,5.67,6.92,6.8,61176769.0,2024,4,2,Summer,11.5,29.549999999999997,12.59
Himachal Pradesh,2024-05-30,2024-05,17.2,71.9,2.24,-28.1,0,10,11689.0,62.0,25.5,118.4,4215.0,307373.0,6.45,6.35,10.1,61474550.0,2024,5,2,Summer,3.6450000000000005,29.3,12.8
Himachal Pradesh,2024-06-29,2024-06,20.4,315.3,5.36,215.3,0,0,12031.0,50.1,7.8,95.5,5275.0,308869.0,5.41,5.53,10.2,61773781.0,2024,6,2,Monsoon,16.125,12.79,10.940000000000001
Himachal Pradesh,2024-07-29,2024-07,18.5,589.0,3.53,489.0,0,0,12095.0,48.3,5.3,88.0,5160.0,310372.0,5.53,5.44,6.3,62074468.0,2024,7,3,Monsoon,27.98,10.469999999999999,10.97
Himachal Pradesh,2024-08-28,2024-08,16.1,134.1,1.14,34.1,0,0,10221.0,54.9,6.3,111.0,5112.0,311883.0,6.42,4.56,10.1,62376618.0,2024,8,3,Monsoon,2.8449999999999998,10.809999999999999,10.98
Himachal Pradesh,2024-09-27,2024-09,14.4,0.0,-0.59,-100.0,0,10,19092.0,52.9,25.4,102.4,5272.0,313401.0,6.31,4.59,10.2,62680240.0,2024,9,3,Monsoon,5.59,30.11,10.899999999999999
Himachal Pradesh,2024-10-27,2024-10,10.0,0.0,-4.96,-100.0,0,10,12117.0,51.5,25.1,86.7,4299.0,314927.0,6.13,4.77,7.0,62985339.0,2024,10,4,Post-Monsoon,9.96,29.950000000000003,10.899999999999999
Himachal Pradesh,2024-11-26,2024-11,8.5,92.9,-6.55,-7.1,0,0,16199.0,51.5,1.3,85.6,5447.0,316460.0,5.02,5.4,5.9,63291923.0,2024,11,4,Post-Monsoon,6.904999999999999,6.1499999999999995,10.42
Jharkhand,2024-01-01,2024-01,21.7,256.6,-5.3,179.9,0,0,11292.0,51.6,8.7,105.6,4582.0,200000.0,8.55,6.42,14.1,40000000.0,2024,1,1,Winter,14.295000000000002,13.54,14.97
Jharkhand,2024-01-31,2024-01,29.1,110.1,2.13,20.2,0,0,17148.0,56.5,1.4,112.7,5207.0,200974.0,8.35,6.9,14.2,40194702.0,2024,1,1,Winter,3.1399999999999997,5.75,15.25
Jharkhand,2024-03-01,2024-03,28.4,47.3,1.37,-48.4,0,10,11555.0,55.2,24.6,97.1,5482.0,201952.0,8.67,7.46,13.7,40390352.0,2024,3,1,Summer,3.79,29.080000000000002,16.13
Jharkhand,2024-03-31,2024-03,28.6,0.0,1.56,-100.0,0,10,17305.0,48.2,23.3,98.2,6290.0,202935.0,7.73,7.73,14.0,40586954.0,2024,3,1,Summer,6.5600000000000005,28.48,15.46
Jharkhand,2024-04-30,2024-04,31.5,0.0,4.46,-100.0,0,10,4196.0,63.4,29.9,88.9,5284.0,203923.0,7.99,7.29,12.7,40784513.0,2024,4,2,Summer,9.46,33.56,15.280000000000001
Jharkhand,2024-05-30,2024-05,30.6,110.4,3.57,20.4,0,0,19885.0,54.0,3.9,88.4,4493.0,204915.0,8.43,7.1,15.6,40983034.0,2024,5,2,Summer,4.59,8.5,15.53
Jharkhand,2024-06-29,2024-06,29.9,266.7,2.87,190.9,0,0,13052.0,55.2,1.3,84.6,5117.0,205913.0,9.04,6.11,14.0,41182521.0,2024,6,2,Monsoon,12.415,5.779999999999999,15.149999999999999
Jharkhand,2024-07-29,2024-07,29.6,201.5,2.59,119.8,0,0,10332.0,59.2,6.0,60.1,5187.0,206915.0,9.16,6.12,14.9,41382979.0,2024,7,3,Monsoon,8.58,10.08,15.280000000000001
Jharkhand,2024-08-28,2024-08,31.3,109.1,4.29,19.0,0,0,18683.0,63.4,1.4,108.4,4647.0,207922.0,9.51,5.94,13.2,41584412.0,2024,8,3,Monsoon,5.24,5.0600000000000005,15.45
Jharkhand,2024-09-27,2024-09,20.4,0.0,-6.55,-100.0,0,10,14833.0,55.4,26.7,110.8,4540.0,208934.0,9.02,5.54,12.8,41786827.0,2024,9,3,Monsoon,11.55,31.16,14.559999999999999
Jharkhand,2024-10-27,2024-10,21.3,0.0,-5.65,-100.0,0,10,12406.0,54.4,20.8,81.9,4632.0,209951.0,8.32,6.1,11.1,41990226.0,2024,10,4,Post-Monsoon,10.65,25.36,14.42
Jharkhand,2024-11-26,2024-11,20.4,88.5,-6.59,-3.4,0,0,14967.0,58.0,8.3,78.2,4842.0,210973.0,9.27,6.15,10.0,42194616.0,2024,11,4,Post-Monsoon,6.76,12.5,15.42
