state,date,month,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr
Chhattisgarh,2024-06-29,2024-06,308869.0,6.04,5.13,8.5,61773781.0
Chhattisgarh,2024-07-29,2024-07,310372.0,5.57,5.35,15.0,62074468.0
Chhattisgarh,2024-08-28,2024-08,311883.0,6.18,4.84,10.8,62376618.0
Chhattisgarh,2024-09-27,2024-09,313401.0,6.24,4.93,10.2,62680240.0
Chhattisgarh,2024-10-27,2024-10,314927.0,7.03,4.59,9.9,62985339.0
Chhattisgarh,2024-11-26,2024-11,316460.0,5.54,5.47,7.2,63291923.0
Goa,2024-01-01,2024-01,300000.0,5.79,5.71,11.0,60000000.0
Goa,2024-01-31,2024-01,301460.0,6.46,5.93,9.1,60292053.0
Goa,2024-03-01,2024-03,302928.0,5.65,6.29,8.6,60585528.0
Goa,2024-03-31,2024-03,304402.0,5.85,7.53,9.9,60880431.0
Goa,2024-04-30,2024-04,305884.0,5.31,6.5,11.0,61176769.0
Goa,2024-05-30,2024-05,307373.0,7.04,5.82,5.2,61474550.0
Goa,2024-06-29,2024-06,308869.0,6.94,5.92,7.3,61773781.0
Goa,2024-07-29,2024-07,310372.0,6.27,4.51,9.0,62074468.0
Goa,2024-08-28,2024-08,311883.0,6.16,5.21,7.0,62376618.0
Goa,2024-09-27,2024-09,313401.0,6.04,4.52,9.5,62680240.0
Goa,2024-10-27,2024-10,314927.0,5.55,4.81,7.0,62985339.0
Goa,2024-11-26,2024-11,316460.0,6.33,5.56,8.5,63291923.0
Gujarat,2024-01-01,2024-01,500000.0,4.52,4.77,6.2,100000000.0
Gujarat,2024-01-31,2024-01,502434.0,4.47,6.49,4.5,100486755.0
Gujarat,2024-03-01,2024-03,504879.0,5.23,6.37,7.3,100975879.0
Gujarat,2024-03-31,2024-03,507337.0,5.38,6.31,7.5,101467385.0
Gujarat,2024-04-30,2024-04,509806.0,4.47,6.43,8.9,101961282.0
Gujarat,2024-05-30,2024-05,512288.0,4.19,5.3,6.3,102457584.0
Gujarat,2024-06-29,2024-06,514782.0,4.1,5.18,9.2,102956301.0
Gujarat,2024-07-29,2024-07,517287.0,4.27,4.69,6.9,103457446.0
Gujarat,2024-08-28,2024-08,519805.0,4.92,3.66,5.5,103961031.0
Gujarat,2024-09-27,2024-09,522335.0,4.61,4.56,5.8,104467066.0
Gujarat,2024-10-27,2024-10,524878.0,3.56,4.52,5.5,104975565.0
Gujarat,2024-11-26,2024-11,527433.0,3.91,4.51,6.4,105486539.0
Haryana,2024-01-01,2024-01,300000.0,5.7,5.14,10.8,60000000.0
Haryana,2024-01-31,2024-01,301460.0,6.64,6.5,6.7,60292053.0
Haryana,2024-03-01,2024-03,302928.0,5.9,6.66,10.2,60585528.0
Haryana,2024-03-31,2024-03,304402.0,6.33,6.58,9.2,60880431.0
Haryana,2024-04-30,2024-04,305884.0,6.23,7.1,10.4,61176769.0
Haryana,2024-05-30,2024-05,307373.0,6.39,6.33,11.8,61474550.0
Haryana,2024-06-29,2024-06,308869.0,6.2,5.54,11.8,61773781.0
Haryana,2024-07-29,2024-07,310372.0,6.35,5.17,8.0,62074468.0
Haryana,2024-08-28,2024-08,311883.0,6.15,5.07,9.4,62376618.0
Haryana,2024-09-27,2024-09,313401.0,6.16,5.31,11.1,62680240.0
Haryana,2024-10-27,2024-10,314927.0,6.1,5.22,6.9,62985339.0
Haryana,2024-11-26,2024-11,316460.0,6.2,5.84,8.6,63291923.0
Himachal Pradesh,2024-01-01,2024-01,300000.0,5.58,5.6,6.8,60000000.0
Himachal Pradesh,2024-01-31,2024-01,301460.0,5.61,6.19,6.2,60292053.0
Himachal Pradesh,2024-03-01,2024-03,302928.0,6.01,6.94,7.2,60585528.0
Himachal Pradesh,2024-03-31,2024-03,304402.0,6.76,6.95,11.1,60880431.0
Himachal Pradesh,2024-04-30,2024-04,305884.0,5.67,6.92,6.8,61176769.0
Himachal Pradesh,2024-05-30,2024-05,307373.0,6.45,6.35,10.1,61474550.0
Himachal Pradesh,2024-06-29,2024-06,308869.0,5.41,5.53,10.2,61773781.0
Himachal Pradesh,2024-07-29,2024-07,310372.0,5.53,5.44,6.3,62074468.0
Himachal Pradesh,2024-08-28,2024-08,311883.0,6.42,4.56,10.1,62376618.0
Himachal Pradesh,2024-09-27,2024-09,313401.0,6.31,4.59,10.2,62680240.0
Himachal Pradesh,2024-10-27,2024-10,314927.0,6.13,4.77,7.0,62985339.0
Himachal Pradesh,2024-11-26,2024-11,316460.0,5.02,5.4,5.9,63291923.0
Jharkhand,2024-01-01,2024-01,200000.0,8.55,6.42,14.1,40000000.0
Jharkhand,2024-01-31,2024-01,200974.0,8.35,6.9,14.2,40194702.0
Jharkhand,2024-03-01,2024-03,201952.0,8.67,7.46,13.7,40390352.0
Jharkhand,2024-03-31,2024-03,202935.0,7.73,7.73,14.0,40586954.0
Jharkhand,2024-04-30,2024-04,203923.0,7.99,7.29,12.7,40784513.0
Jharkhand,2024-05-30,2024-05,204915.0,8.43,7.1,15.6,40983034.0
Jharkhand,2024-06-29,2024-06,205913.0,9.04,6.11,14.0,41182521.0
Jharkhand,2024-07-29,2024-07,206915.0,9.16,6.12,14.9,41382979.0
Jharkhand,2024-08-28,2024-08,207922.0,9.51,5.94,13.2,41584412.0
Jharkhand,2024-09-27,2024-09,208934.0,9.02,5.54,12.8,41786827.0
Jharkhand,2024-10-27,2024-10,209951.0,8.32,6.1,11.1,41990226.0
Jharkhand,2024-11-26,2024-11,210973.0,9.27,6.15,10.0,42194616.0
Karnataka,2024-01-01,2024-01,500000.0,4.68,4.57,8.0,100000000.0
Karnataka,2024-01-31,2024-01,502434.0,4.94,5.52,7.0,100486755.0
Karnataka,2024-03-01,2024-03,504879.0,5.48,5.91,4.6,100975879.0
Karnataka,2024-03-31,2024-03,507337.0,5.24,6.79,6.8,101467385.0
Karnataka,2024-04-30,2024-04,509806.0,5.01,6.47,5.3,101961282.0
Karnataka,2024-05-30,2024-05,512288.0,4.26,6.07,10.1,102457584.0
Karnataka,2024-06-29,2024-06,514782.0,4.78,4.94,10.7,102956301.0
Karnataka,2024-07-29,2024-07,517287.0,4.23,4.6,7.4,103457446.0
Karnataka,2024-08-28,2024-08,519805.0,5.28,4.59,7.6,103961031.0
Karnataka,2024-09-27,2024-09,522335.0,4.73,4.21,7.9,104467066.0
Karnataka,2024-10-27,2024-10,524878.0,3.24,4.24,7.2,104975565.0
Karnataka,2024-11-26,2024-11,527433.0,3.92,4.82,6.3,105486539.0
Kerala,2024-01-01,2024-01,300000.0,6.88,6.27,8.1,60000000.0
Kerala,2024-01-31,2024-01,301460.0,5.92,6.28,8.1,60292053.0
Kerala,2024-03-01,2024-03,302928.0,6.1,6.44,6.7,60585528.0
Kerala,2024-03-31,2024-03,304402.0,6.31,6.99,7.4,60880431.0
Kerala,2024-04-30,2024-04,305884.0,6.45,6.48,9.5,61176769.0
Kerala,2024-05-30,2024-05,307373.0,6.41,6.29,9.9,61474550.0
Kerala,2024-06-29,2024-06,308869.0,5.74,5.74,8.6,61773781.0
Kerala,2024-07-29,2024-07,310372.0,5.63,5.25,5.9,62074468.0
Kerala,2024-08-28,2024-08,311883.0,5.75,4.85,8.5,62376618.0
Kerala,2024-09-27,2024-09,313401.0,5.88,4.78,10.0,62680240.0
Kerala,2024-10-27,2024-10,314927.0,6.44,4.74,6.6,62985339.0
Kerala,2024-11-26,2024-11,316460.0,5.48,5.15,8.3,63291923.0
Madhya Pradesh,2024-01-01,2024-01,300000.0,5.62,5.41,8.1,60000000.0
Madhya Pradesh,2024-01-31,2024-01,301460.0,6.09,6.48,7.9,60292053.0
Madhya Pradesh,2024-03-01,2024-03,302928.0,5.79,6.39,8.9,60585528.0
Madhya Pradesh,2024-03-31,2024-03,304402.0,5.58,6.97,5.4,60880431.0
Madhya Pradesh,2024-04-30,2024-04,305884.0,5.82,6.76,9.4,61176769.0
Madhya Pradesh,2024-05-30,2024-05,307373.0,7.35,6.4,7.0,61474550.0
Madhya Pradesh,2024-06-29,2024-06,308869.0,5.95,5.27,8.8,61773781.0
Madhya Pradesh,2024-07-29,2024-07,310372.0,5.58,5.57,7.9,62074468.0
Madhya Pradesh,2024-08-28,2024-08,311883.0,5.94,4.74,12.5,62376618.0
Madhya Pradesh,2024-09-27,2024-09,313401.0,5.84,5.35,10.6,62680240.0
Madhya Pradesh,2024-10-27,2024-10,314927.0,6.24,5.04,9.8,62985339.0
Madhya Pradesh,2024-11-26,2024-11,316460.0,5.04,5.22,10.7,63291923.0
Maharashtra,2024-01-01,2024-01,500000.0,4.48,4.78,6.6,100000000.0
Maharashtra,2024-01-31,2024-01,502434.0,5.35,6.07,6.6,100486755.0
Maharashtra,2024-03-01,2024-03,504879.0,4.98,5.96,3.3,100975879.0
Maharashtra,2024-03-31,2024-03,507337.0,4.04,6.67,6.2,101467385.0
Maharashtra,2024-04-30,2024-04,509806.0,4.38,5.98,10.6,101961282.0
Maharashtra,2024-05-30,2024-05,512288.0,5.31,6.37,6.4,102457584.0
Maharashtra,2024-06-29,2024-06,514782.0,4.65,4.75,9.7,102956301.0
Maharashtra,2024-07-29,2024-07,517287.0,3.92,4.77,4.6,103457446.0
Maharashtra,2024-08-28,2024-08,519805.0,4.21,4.08,5.5,103961031.0
Maharashtra,2024-09-27,2024-09,522335.0,4.23,4.04,8.4,104467066.0
Maharashtra,2024-10-27,2024-10,524878.0,3.95,4.4,9.2,104975565.0
Maharashtra,2024-11-26,2024-11,527433.0,4.24,4.48,6.3,105486539.0
Manipur,2024-01-01,2024-01,300000.0,6.59,5.86,7.9,60000000.0
Manipur,2024-01-31,2024-01,301460.0,6.24,5.97,10.4,60292053.0
Manipur,2024-03-01,2024-03,302928.0,6.2,6.57,7.3,60585528.0
Manipur,2024-03-31,2024-03,304402.0,5.56,6.96,11.5,60880431.0
Manipur,2024-04-30,2024-04,305884.0,5.68,6.8,4.8,61176769.0
Manipur,2024-05-30,2024-05,307373.0,5.71,6.29,7.2,61474550.0
Manipur,2024-06-29,2024-06,308869.0,5.53,5.6,9.6,61773781.0
Manipur,2024-07-29,2024-07,310372.0,5.91,4.63,4.8,62074468.0
Manipur,2024-08-28,2024-08,311883.0,5.7,5.07,3.5,62376618.0
Manipur,2024-09-27,2024-09,313401.0,5.75,4.64,11.8,62680240.0
Manipur,2024-10-27,2024-10,314927.0,5.81,5.05,9.3,62985339.0
Manipur,2024-11-26,2024-11,316460.0,4.93,5.53,9.4,63291923.0
Meghalaya,2024-01-01,2024-01,300000.0,6.25,6.98,4.8,60000000.0
Meghalaya,2024-01-31,2024-01,301460.0,6.86,6.21,9.6,60292053.0
Meghalaya,2024-03-01,2024-03,302928.0,5.98,6.54,7.9,60585528.0
Meghalaya,2024-03-31,2024-03,304402.0,6.16,6.34,10.5,60880431.0
Meghalaya,2024-04-30,2024-04,305884.0,5.79,6.33,8.1,61176769.0
Meghalaya,2024-05-30,2024-05,307373.0,6.63,6.14,9.7,61474550.0
Meghalaya,2024-06-29,2024-06,308869.0,5.63,6.03,10.4,61773781.0
Meghalaya,2024-07-29,2024-07,310372.0,6.92,5.25,10.3,62074468.0
Meghalaya,2024-08-28,2024-08,311883.0,6.05,5.32,7.6,62376618.0
Meghalaya,2024-09-27,2024-09,313401.0,6.37,4.74,8.9,62680240.0
Meghalaya,2024-10-27,2024-10,314927.0,6.05,5.01,8.8,62985339.0
Meghalaya,2024-11-26,2024-11,316460.0,6.11,5.77,11.0,63291923.0
Mizoram,2024-01-01,2024-01,300000.0,6.43,5.66,7.2,60000000.0
Mizoram,2024-01-31,2024-01,301460.0,6.48,6.56,11.9,60292053.0
Mizoram,2024-03-01,2024-03,302928.0,5.7,6.6,5.7,60585528.0
Mizoram,2024-03-31,2024-03,304402.0,5.8,7.1,8.1,60880431.0
Mizoram,2024-04-30,2024-04,305884.0,6.32,6.61,9.6,61176769.0
Mizoram,2024-05-30,2024-05,307373.0,5.43,6.33,3.0,61474550.0
Mizoram,2024-06-29,2024-06,308869.0,5.91,5.31,11.4,61773781.0
Mizoram,2024-07-29,2024-07,310372.0,6.39,5.44,12.0,62074468.0
Mizoram,2024-08-28,2024-08,311883.0,5.53,5.46,10.9,62376618.0
Mizoram,2024-09-27,2024-09,313401.0,5.88,5.14,6.8,62680240.0
Mizoram,2024-10-27,2024-10,314927.0,5.59,4.75,7.9,62985339.0
Mizoram,2024-11-26,2024-11,316460.0,5.47,5.67,8.5,63291923.0
Nagaland,2024-01-01,2024-01,300000.0,6.18,5.63,5.4,60000000.0
Nagaland,2024-01-31,2024-01,301460.0,6.14,5.73,8.9,60292053.0
Nagaland,2024-03-01,2024-03,302928.0,5.32,7.26,10.8,60585528.0
Nagaland,2024-03-31,2024-03,304402.0,6.05,7.18,7.3,60880431.0
Nagaland,2024-04-30,2024-04,305884.0,6.27,6.73,9.5,61176769.0
Nagaland,2024-05-30,2024-05,307373.0,6.64,6.52,9.6,61474550.0
Nagaland,2024-06-29,2024-06,308869.0,5.17,5.51,8.8,61773781.0
Nagaland,2024-07-29,2024-07,310372.0,6.05,4.96,13.8,62074468.0
Nagaland,2024-08-28,2024-08,311883.0,6.76,5.11,9.1,62376618.0
Nagaland,2024-09-27,2024-09,313401.0,5.89,4.51,9.2,62680240.0
Nagaland,2024-10-27,2024-10,314927.0,6.13,4.56,9.7,62985339.0
Nagaland,2024-11-26,2024-11,316460.0,5.92,4.73,7.3,63291923.0
Odisha,2024-01-01,2024-01,200000.0,8.29,7.07,13.9,40000000.0
Odisha,2024-01-31,2024-01,200974.0,7.83,7.15,9.7,40194702.0
Odisha,2024-03-01,2024-03,201952.0,9.04,7.22,12.6,40390352.0
Odisha,2024-03-31,2024-03,202935.0,9.16,7.11,10.0,40586954.0
Odisha,2024-04-30,2024-04,203923.0,8.21,7.68,9.7,40784513.0
Odisha,2024-05-30,2024-05,204915.0,7.08,6.86,13.9,40983034.0
Odisha,2024-06-29,2024-06,205913.0,9.1,6.36,11.9,41182521.0
Odisha,2024-07-29,2024-07,206915.0,9.08,5.44,12.0,41382979.0
Odisha,2024-08-28,2024-08,207922.0,8.6,5.77,11.7,41584412.0
Odisha,2024-09-27,2024-09,208934.0,8.52,4.75,11.4,41786827.0
Odisha,2024-10-27,2024-10,209951.0,8.73,5.34,12.9,41990226.0
Odisha,2024-11-26,2024-11,210973.0,8.72,5.9,13.1,42194616.0
Punjab,2024-01-01,2024-01,300000.0,5.52,5.74,10.2,60000000.0
Punjab,2024-01-31,2024-01,301460.0,6.08,6.12,9.4,60292053.0
Punjab,2024-03-01,2024-03,302928.0,6.36,6.05,11.3,60585528.0
Punjab,2024-03-31,2024-03,304402.0,5.83,6.93,11.4,60880431.0
Punjab,2024-04-30,2024-04,305884.0,5.31,6.45,8.4,61176769.0
Punjab,2024-05-30,2024-05,307373.0,5.61,6.82,7.3,61474550.0
Punjab,2024-06-29,2024-06,308869.0,5.72,5.86,6.6,61773781.0
Punjab,2024-07-29,2024-07,310372.0,5.8,5.4,8.3,62074468.0
Punjab,2024-08-28,2024-08,311883.0,5.95,4.78,6.0,62376618.0
Punjab,2024-09-27,2024-09,313401.0,6.16,5.33,9.0,62680240.0
Punjab,2024-10-27,2024-10,314927.0,6.11,5.14,6.5,62985339.0
Punjab,2024-11-26,2024-11,316460.0,6.85,5.36,12.3,63291923.0
Rajasthan,2024-01-01,2024-01,300000.0,5.63,6.35,10.6,60000000.0
Rajasthan,2024-01-31,2024-01,301460.0,6.28,6.37,8.5,60292053.0
Rajasthan,2024-03-01,2024-03,302928.0,6.6,6.71,5.1,60585528.0
Rajasthan,2024-03-31,2024-03,304402.0,5.44,6.74,9.6,60880431.0
Rajasthan,2024-04-30,2024-04,305884.0,5.97,7.03,5.1,61176769.0
Rajasthan,2024-05-30,2024-05,307373.0,6.07,5.75,10.5,61474550.0
Rajasthan,2024-06-29,2024-06,308869.0,5.95,5.93,7.3,61773781.0
Rajasthan,2024-07-29,2024-07,310372.0,6.64,5.61,10.2,62074468.0
Rajasthan,2024-08-28,2024-08,311883.0,5.94,5.11,7.6,62376618.0
Rajasthan,2024-09-27,2024-09,313401.0,6.43,5.29,11.1,62680240.0
Rajasthan,2024-10-27,2024-10,314927.0,5.64,5.04,6.4,62985339.0
Rajasthan,2024-11-26,2024-11,316460.0,6.29,5.44,5.3,63291923.0
Sikkim,2024-01-01,2024-01,300000.0,5.42,5.72,8.4,60000000.0
Sikkim,2024-01-31,2024-01,301460.0,5.4,6.42,9.5,60292053.0
Sikkim,2024-03-01,2024-03,302928.0,5.9,6.44,11.1,60585528.0
Sikkim,2024-03-31,2024-03,304402.0,6.83,6.65,7.8,60880431.0
Sikkim,2024-04-30,2024-04,305884.0,6.25,6.56,8.7,61176769.0
Sikkim,2024-05-30,2024-05,307373.0,6.37,5.73,11.6,61474550.0
Sikkim,2024-06-29,2024-06,308869.0,6.04,5.68,8.8,61773781.0
Sikkim,2024-07-29,2024-07,310372.0,5.98,4.78,12.0,62074468.0
Sikkim,2024-08-28,2024-08,311883.0,6.02,5.07,10.9,62376618.0
Sikkim,2024-09-27,2024-09,313401.0,5.49,4.94,8.5,62680240.0
Sikkim,2024-10-27,2024-10,314927.0,6.42,4.3,8.8,62985339.0
Sikkim,2024-11-26,2024-11,316460.0,5.7,5.43,9.9,63291923.0
Tamil Nadu,2024-01-01,2024-01,500000.0,4.15,4.99,6.5,100000000.0
Tamil Nadu,2024-01-31,2024-01,502434.0,4.05,5.95,6.0,100486755.0
Tamil Nadu,2024-03-01,2024-03,504879.0,3.05,5.95,4.7,100975879.0
Tamil Nadu,2024-03-31,2024-03,507337.0,3.68,5.83,7.0,101467385.0
Tamil Nadu,2024-04-30,2024-04,509806.0,5.16,6.16,5.5,101961282.0
Tamil Nadu,2024-05-30,2024-05,512288.0,4.73,5.56,5.4,102457584.0
Tamil Nadu,2024-06-29,2024-06,514782.0,3.92,4.67,6.0,102956301.0
Tamil Nadu,2024-07-29,2024-07,517287.0,4.58,4.67,5.9,103457446.0
Tamil Nadu,2024-08-28,2024-08,519805.0,4.03,4.52,4.1,103961031.0
Tamil Nadu,2024-09-27,2024-09,522335.0,4.89,3.9,5.2,104467066.0
Tamil Nadu,2024-10-27,2024-10,524878.0,3.77,4.18,8.7,104975565.0
Tamil Nadu,2024-11-26,2024-11,527433.0,4.76,4.99,7.8,105486539.0
Telangana,2024-01-01,2024-01,300000.0,5.45,5.7,7.4,60000000.0
Telangana,2024-01-31,2024-01,301460.0,6.67,5.94,10.8,60292053.0
Telangana,2024-03-01,2024-03,302928.0,6.45,7.21,8.2,60585528.0
Telangana,2024-03-31,2024-03,304402.0,6.36,7.48,7.8,60880431.0
Telangana,2024-04-30,2024-04,305884.0,5.23,6.1,10.4,61176769.0
Telangana,2024-05-30,2024-05,307373.0,5.06,6.19,9.9,61474550.0
Telangana,2024-06-29,2024-06,308869.0,6.09,5.93,9.4,61773781.0
Telangana,2024-07-29,2024-07,310372.0,6.64,5.01,7.6,62074468.0
Telangana,2024-08-28,2024-08,311883.0,5.61,5.18,10.8,62376618.0
Telangana,2024-09-27,2024-09,313401.0,6.23,5.16,6.6,62680240.0
Telangana,2024-10-27,2024-10,314927.0,6.83,5.39,10.5,62985339.0
Telangana,2024-11-26,2024-11,316460.0,6.89,4.8,8.0,63291923.0
Tripura,2024-01-01,2024-01,300000.0,5.63,6.02,6.9,60000000.0
Tripura,2024-01-31,2024-01,301460.0,6.38,6.71,10.4,60292053.0
Tripura,2024-03-01,2024-03,302928.0,6.14,6.37,7.3,60585528.0
Tripura,2024-03-31,2024-03,304402.0,6.62,7.03,8.9,60880431.0
Tripura,2024-04-30,2024-04,305884.0,5.79,6.06,6.9,61176769.0
Tripura,2024-05-30,2024-05,307373.0,6.96,5.92,9.4,61474550.0
Tripura,2024-06-29,2024-06,308869.0,6.5,5.42,9.4,61773781.0
Tripura,2024-07-29,2024-07,310372.0,6.47,5.3,14.7,62074468.0
Tripura,2024-08-28,2024-08,311883.0,5.17,5.25,8.7,62376618.0
Tripura,2024-09-27,2024-09,313401.0,6.39,4.93,7.5,62680240.0
Tripura,2024-10-27,2024-10,314927.0,6.11,4.38,10.2,62985339.0
Tripura,2024-11-26,2024-11,316460.0,6.15,5.49,11.1,63291923.0
Uttar Pradesh,2024-01-01,2024-01,200000.0,8.68,6.54,11.0,40000000.0
Uttar Pradesh,2024-01-31,2024-01,200974.0,8.14,7.36,15.6,40194702.0
Uttar Pradesh,2024-03-01,2024-03,201952.0,8.38,7.38,10.9,40390352.0
Uttar Pradesh,2024-03-31,2024-03,202935.0,9.09,7.7,16.6,40586954.0
Uttar Pradesh,2024-04-30,2024-04,203923.0,8.06,7.25,13.2,40784513.0
Uttar Pradesh,2024-05-30,2024-05,204915.0,8.82,6.94,11.0,40983034.0
Uttar Pradesh,2024-06-29,2024-06,205913.0,8.94,6.72,10.9,41182521.0
Uttar Pradesh,2024-07-29,2024-07,206915.0,9.18,6.35,13.0,41382979.0
Uttar Pradesh,2024-08-28,2024-08,207922.0,8.54,5.8,11.0,41584412.0
Uttar Pradesh,2024-09-27,2024-09,208934.0,8.52,4.85,14.5,41786827.0
Uttar Pradesh,2024-10-27,2024-10,209951.0,7.72,6.09,12.1,41990226.0
Uttar Pradesh,2024-11-26,2024-11,210973.0,8.39,5.81,12.2,42194616.0
Uttarakhand,2024-01-01,2024-01,300000.0,6.71,5.05,11.6,60000000.0
Uttarakhand,2024-01-31,2024-01,301460.0,6.17,5.94,6.8,60292053.0
Uttarakhand,2024-03-01,2024-03,302928.0,6.84,6.38,6.7,60585528.0
Uttarakhand,2024-03-31,2024-03,304402.0,6.57,6.9,7.1,60880431.0
Uttarakhand,2024-04-30,2024-04,305884.0,6.11,6.36,11.2,61176769.0
Uttarakhand,2024-05-30,2024-05,307373.0,6.53,6.46,9.7,61474550.0
Uttarakhand,2024-06-29,2024-06,308869.0,6.88,5.8,6.6,61773781.0
Uttarakhand,2024-07-29,2024-07,310372.0,6.22,5.93,7.0,62074468.0
Uttarakhand,2024-08-28,2024-08,311883.0,5.82,5.06,8.9,62376618.0
Uttarakhand,2024-09-27,2024-09,313401.0,5.51,5.14,13.6,62680240.0
Uttarakhand,2024-10-27,2024-10,314927.0,6.1,4.66,5.9,62985339.0
Uttarakhand,2024-11-26,2024-11,316460.0,6.13,5.63,10.0,63291923.0
West Bengal,2024-01-01,2024-01,300000.0,6.0,5.62,6.8,60000000.0
West Bengal,2024-01-31,2024-01,301460.0,6.42,6.57,5.9,60292053.0
West Bengal,2024-03-01,2024-03,302928.0,6.79,6.84,11.8,60585528.0
West Bengal,2024-03-31,2024-03,304402.0,5.33,6.39,8.7,60880431.0
West Bengal,2024-04-30,2024-04,305884.0,6.25,7.2,10.4,61176769.0
West Bengal,2024-05-30,2024-05,307373.0,5.88,5.99,11.5,61474550.0
West Bengal,2024-06-29,2024-06,308869.0,5.52,6.29,8.4,61773781.0
West Bengal,2024-07-29,2024-07,310372.0,6.8,5.5,8.7,62074468.0
