state,date,month,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity
Assam,2024-03-01,2024-03,22.6,276.2,-1.35,18.4,0,0
Assam,2024-03-31,2024-03,28.6,0.0,4.56,-100.0,0,10
Assam,2024-04-30,2024-04,26.7,0.0,2.65,-100.0,0,10
Assam,2024-05-30,2024-05,29.7,301.6,5.66,29.3,0,0
Assam,2024-06-29,2024-06,27.4,602.0,3.37,158.0,0,0
Assam,2024-07-29,2024-07,24.3,408.7,0.29,75.2,0,0
Assam,2024-08-28,2024-08,25.6,328.3,1.63,40.7,0,0
Assam,2024-09-27,2024-09,21.4,0.0,-2.64,-100.0,0,10
Assam,2024-10-27,2024-10,20.4,0.0,-3.61,-100.0,0,10
Assam,2024-11-26,2024-11,19.7,341.0,-4.28,46.1,0,0
Bihar,2024-01-01,2024-01,22.6,368.0,-4.4,301.4,0,0
Bihar,2024-01-31,2024-01,19.3,312.2,-7.74,240.6,0,0
Bihar,2024-03-01,2024-03,27.2,83.4,0.17,-9.0,0,0
Bihar,2024-03-31,2024-03,29.7,0.0,2.68,-100.0,0,10
Bihar,2024-04-30,2024-04,30.9,0.0,3.89,-100.0,0,10
Bihar,2024-05-30,2024-05,35.0,77.4,7.96,-15.5,0,0
Bihar,2024-06-29,2024-06,29.7,212.7,2.71,132.1,0,0
Bihar,2024-07-29,2024-07,31.3,275.1,4.33,200.2,0,0
Bihar,2024-08-28,2024-08,25.9,105.8,-1.06,15.4,0,0
Bihar,2024-09-27,2024-09,24.7,0.0,-2.31,-100.0,0,10
Bihar,2024-10-27,2024-10,21.3,0.0,-5.73,-100.0,0,10
Bihar,2024-11-26,2024-11,21.2,51.4,-5.78,-43.9,0,10
Chhattisgarh,2024-01-01,2024-01,23.3,270.1,-3.74,194.6,0,0
Chhattisgarh,2024-01-31,2024-01,24.5,232.8,-2.49,154.0,0,0
Chhattisgarh,2024-03-01,2024-03,24.2,80.1,-2.83,-12.6,0,0
Chhattisgarh,2024-03-31,2024-03,28.8,0.0,1.81,-100.0,0,10
Chhattisgarh,2024-04-30,2024-04,31.0,0.0,4.01,-100.0,0,10
Chhattisgarh,2024-05-30,2024-05,35.8,96.5,8.77,5.2,0,0
Chhattisgarh,2024-06-29,2024-06,31.8,244.8,4.85,167.1,0,0
Chhattisgarh,2024-07-29,2024-07,25.7,248.4,-1.34,171.0,0,0
Chhattisgarh,2024-08-28,2024-08,27.1,159.4,0.12,73.9,0,0
Chhattisgarh,2024-09-27,2024-09,24.1,0.0,-2.88,-100.0,0,10
Chhattisgarh,2024-10-27,2024-10,22.6,0.0,-4.4,-100.0,0,10
Chhattisgarh,2024-11-26,2024-11,24.3,112.3,-2.71,22.6,0,0
Goa,2024-01-01,2024-01,25.3,413.9,-2.75,98.7,0,0
Goa,2024-01-31,2024-01,28.3,329.8,0.31,58.3,0,0
Goa,2024-03-01,2024-03,29.2,345.2,1.17,65.7,0,0
Goa,2024-03-31,2024-03,28.5,0.0,0.52,-100.0,0,10
Goa,2024-04-30,2024-04,32.5,0.0,4.53,-100.0,0,10
Goa,2024-05-30,2024-05,29.9,212.6,1.9,2.1,0,0
Goa,2024-06-29,2024-06,30.2,650.0,2.21,212.0,0,0
Goa,2024-07-29,2024-07,28.7,833.8,0.66,300.2,0,0
Goa,2024-08-28,2024-08,26.4,188.2,-1.57,-9.7,0,0
Goa,2024-09-27,2024-09,27.1,0.0,-0.87,-100.0,0,10
Goa,2024-10-27,2024-10,24.1,0.0,-3.88,-100.0,0,10
Goa,2024-11-26,2024-11,19.8,219.9,-8.21,5.5,0,0
Gujarat,2024-01-01,2024-01,28.2,112.4,-3.81,237.3,0,0
Gujarat,2024-01-31,2024-01,27.0,55.0,-4.97,65.0,0,0
Gujarat,2024-03-01,2024-03,33.0,36.3,1.04,8.9,0,0
Gujarat,2024-03-31,2024-03,35.0,0.0,3.0,-100.0,0,10
Gujarat,2024-04-30,2024-04,35.0,0.0,2.97,-100.0,0,10
Gujarat,2024-05-30,2024-05,37.6,26.2,5.59,-21.4,0,10
Gujarat,2024-06-29,2024-06,40.1,104.0,8.06,212.0,0,0
Gujarat,2024-07-29,2024-07,35.8,64.4,3.81,93.3,0,0
Gujarat,2024-08-28,2024-08,33.6,44.9,1.57,34.8,0,0
Gujarat,2024-09-27,2024-09,27.9,0.0,-4.14,-100.0,0,10
Gujarat,2024-10-27,2024-10,28.5,0.0,-3.5,-100.0,0,10
Gujarat,2024-11-26,2024-11,30.8,30.9,-1.21,-7.4,0,0
Haryana,2024-01-01,2024-01,26.2,66.8,-5.84,100.3,0,0
Haryana,2024-01-31,2024-01,27.9,89.0,-4.13,166.9,0,0
Haryana,2024-03-01,2024-03,32.7,36.1,0.68,8.3,0,0
Haryana,2024-03-31,2024-03,36.2,0.0,4.15,-100.0,0,10
Haryana,2024-04-30,2024-04,39.2,0.0,7.24,-100.0,0,10
Haryana,2024-05-30,2024-05,42.4,39.6,10.44,18.8,0,0
Haryana,2024-06-29,2024-06,34.2,104.2,2.19,212.7,0,0
Haryana,2024-07-29,2024-07,34.1,110.6,2.05,231.7,0,0
Haryana,2024-08-28,2024-08,32.9,32.6,0.95,-2.2,0,0
Haryana,2024-09-27,2024-09,27.8,0.0,-4.19,-100.0,0,10
Haryana,2024-10-27,2024-10,26.8,0.0,-5.22,-100.0,0,10
Haryana,2024-11-26,2024-11,27.4,20.9,-4.57,-37.4,0,10
Himachal Pradesh,2024-01-01,2024-01,11.0,304.8,-3.98,204.8,0,0
Himachal Pradesh,2024-01-31,2024-01,10.7,285.8,-4.27,185.8,0,0
Himachal Pradesh,2024-03-01,2024-03,15.1,65.7,0.12,-34.3,0,10
Himachal Pradesh,2024-03-31,2024-03,18.2,0.0,3.22,-100.0,0,10
Himachal Pradesh,2024-04-30,2024-04,21.5,0.0,6.5,-100.0,0,10
Himachal Pradesh,2024-05-30,2024-05,17.2,71.9,2.24,-28.1,0,10
Himachal Pradesh,2024-06-29,2024-06,20.4,315.3,5.36,215.3,0,0
Himachal Pradesh,2024-07-29,2024-07,18.5,589.0,3.53,489.0,0,0
Himachal Pradesh,2024-08-28,2024-08,16.1,134.1,1.14,34.1,0,0
Himachal Pradesh,2024-09-27,2024-09,14.4,0.0,-0.59,-100.0,0,10
Himachal Pradesh,2024-10-27,2024-10,10.0,0.0,-4.96,-100.0,0,10
Himachal Pradesh,2024-11-26,2024-11,8.5,92.9,-6.55,-7.1,0,0
Jharkhand,2024-01-01,2024-01,21.7,256.6,-5.3,179.9,0,0
Jharkhand,2024-01-31,2024-01,29.1,110.1,2.13,20.2,0,0
Jharkhand,2024-03-01,2024-03,28.4,47.3,1.37,-48.4,0,10
Jharkhand,2024-03-31,2024-03,28.6,0.0,1.56,-100.0,0,10
Jharkhand,2024-04-30,2024-04,31.5,0.0,4.46,-100.0,0,10
Jharkhand,2024-05-30,2024-05,30.6,110.4,3.57,20.4,0,0
Jharkhand,2024-06-29,2024-06,29.9,266.7,2.87,190.9,0,0
Jharkhand,2024-07-29,2024-07,29.6,201.5,2.59,119.8,0,0
Jharkhand,2024-08-28,2024-08,31.3,109.1,4.29,19.0,0,0
Jharkhand,2024-09-27,2024-09,20.4,0.0,-6.55,-100.0,0,10
Jharkhand,2024-10-27,2024-10,21.3,0.0,-5.65,-100.0,0,10
Jharkhand,2024-11-26,2024-11,20.4,88.5,-6.59,-3.4,0,0
Karnataka,2024-01-01,2024-01,24.7,717.0,-3.32,244.2,0,0
Karnataka,2024-01-31,2024-01,23.1,512.1,-4.9,145.8,0,0
Karnataka,2024-03-01,2024-03,27.1,167.5,-0.95,-19.6,0,0
Karnataka,2024-03-31,2024-03,34.0,0.0,6.03,-100.0,0,10
Karnataka,2024-04-30,2024-04,29.8,0.0,1.81,-100.0,0,10
Karnataka,2024-05-30,2024-05,37.2,272.9,9.24,31.0,0,0
Karnataka,2024-06-29,2024-06,29.3,486.5,1.29,133.5,0,0
Karnataka,2024-07-29,2024-07,33.0,448.3,5.03,115.2,0,0
Karnataka,2024-08-28,2024-08,28.9,256.7,0.89,23.2,0,0
Karnataka,2024-09-27,2024-09,23.6,0.0,-4.35,-100.0,0,10
Karnataka,2024-10-27,2024-10,17.2,0.0,-10.81,-100.0,0,10
Karnataka,2024-11-26,2024-11,22.5,130.3,-5.51,-37.4,0,10
Kerala,2024-01-01,2024-01,26.9,325.0,-1.07,56.0,0,0
Kerala,2024-01-31,2024-01,24.6,591.5,-3.38,183.9,0,0
Kerala,2024-03-01,2024-03,30.9,118.6,2.88,-43.1,0,10
Kerala,2024-03-31,2024-03,32.8,0.0,4.83,-100.0,0,10
Kerala,2024-04-30,2024-04,30.4,0.0,2.37,-100.0,0,10
Kerala,2024-05-30,2024-05,33.4,170.8,5.4,-18.0,0,0
Kerala,2024-06-29,2024-06,32.5,503.4,4.47,141.6,0,0
Kerala,2024-07-29,2024-07,30.7,682.2,2.73,227.5,0,0
Kerala,2024-08-28,2024-08,31.2,131.0,3.17,-37.1,0,10
Kerala,2024-09-27,2024-09,29.8,0.0,1.77,-100.0,0,10
Kerala,2024-10-27,2024-10,23.4,0.0,-4.63,-100.0,0,10
Kerala,2024-11-26,2024-11,23.6,169.4,-4.44,-18.7,0,0
Madhya Pradesh,2024-01-01,2024-01,22.3,213.4,-4.75,132.8,0,0
Madhya Pradesh,2024-01-31,2024-01,23.3,314.3,-3.68,242.8,0,0
Madhya Pradesh,2024-03-01,2024-03,27.7,72.6,0.71,-20.8,0,10
Madhya Pradesh,2024-03-31,2024-03,31.3,0.0,4.3,-100.0,0,10
Madhya Pradesh,2024-04-30,2024-04,33.0,0.0,5.96,-100.0,0,10
Madhya Pradesh,2024-05-30,2024-05,30.3,76.3,3.34,-16.8,0,0
Madhya Pradesh,2024-06-29,2024-06,32.8,296.3,5.82,223.2,0,0
Madhya Pradesh,2024-07-29,2024-07,29.5,259.3,2.46,182.8,0,0
Madhya Pradesh,2024-08-28,2024-08,29.6,75.4,2.56,-17.7,0,0
Madhya Pradesh,2024-09-27,2024-09,25.6,0.0,-1.41,-100.0,0,10
Madhya Pradesh,2024-10-27,2024-10,22.2,0.0,-4.77,-100.0,0,10
Madhya Pradesh,2024-11-26,2024-11,23.7,114.0,-3.35,24.4,0,0
Maharashtra,2024-01-01,2024-01,25.3,252.0,-1.72,174.9,0,0
Maharashtra,2024-01-31,2024-01,25.9,227.1,-1.14,147.8,0,0
Maharashtra,2024-03-01,2024-03,27.6,88.1,0.65,-3.9,0,0
Maharashtra,2024-03-31,2024-03,29.7,0.0,2.69,-100.0,0,10
Maharashtra,2024-04-30,2024-04,29.7,0.0,2.69,-100.0,0,10
Maharashtra,2024-05-30,2024-05,30.0,58.3,2.99,-36.4,0,10
Maharashtra,2024-06-29,2024-06,33.6,309.9,6.65,238.1,0,0
Maharashtra,2024-07-29,2024-07,30.7,297.6,3.75,224.7,0,0
Maharashtra,2024-08-28,2024-08,27.0,67.0,-0.02,-26.9,0,10
Maharashtra,2024-09-27,2024-09,24.7,0.0,-2.35,-100.0,0,10
Maharashtra,2024-10-27,2024-10,24.6,0.0,-2.38,-100.0,0,10
Maharashtra,2024-11-26,2024-11,20.3,82.8,-6.65,-9.6,0,0
Manipur,2024-01-01,2024-01,23.5,208.1,-3.5,127.0,0,0
Manipur,2024-01-31,2024-01,22.9,268.7,-4.14,193.2,0,0
Manipur,2024-03-01,2024-03,27.5,77.7,0.49,-15.2,0,0
Manipur,2024-03-31,2024-03,28.6,0.0,1.56,-100.0,0,10
Manipur,2024-04-30,2024-04,28.4,0.0,1.43,-100.0,0,10
Manipur,2024-05-30,2024-05,30.6,85.8,3.56,-6.4,0,0
Manipur,2024-06-29,2024-06,32.0,361.3,4.95,294.1,0,0
Manipur,2024-07-29,2024-07,31.2,238.4,4.22,160.1,0,0
Manipur,2024-08-28,2024-08,27.0,64.1,-0.04,-30.1,0,10
Manipur,2024-09-27,2024-09,24.5,0.0,-2.54,-100.0,0,10
Manipur,2024-10-27,2024-10,23.3,0.0,-3.68,-100.0,0,10
Manipur,2024-11-26,2024-11,23.0,133.8,-3.96,46.0,0,0
Meghalaya,2024-01-01,2024-01,19.5,714.3,-4.55,206.1,0,0
Meghalaya,2024-01-31,2024-01,22.9,560.7,-1.12,140.3,0,0
Meghalaya,2024-03-01,2024-03,24.4,234.2,0.45,0.4,0,0
Meghalaya,2024-03-31,2024-03,26.7,0.0,2.7,-100.0,0,10
Meghalaya,2024-04-30,2024-04,28.4,0.0,4.38,-100.0,0,10
Meghalaya,2024-05-30,2024-05,31.9,300.5,7.9,28.8,0,0
Meghalaya,2024-06-29,2024-06,32.6,490.7,8.64,110.3,0,0
Meghalaya,2024-07-29,2024-07,28.2,672.5,4.24,188.2,0,0
Meghalaya,2024-08-28,2024-08,28.4,176.8,4.38,-24.2,0,10
Meghalaya,2024-09-27,2024-09,19.8,0.0,-4.18,-100.0,0,10
Meghalaya,2024-10-27,2024-10,15.4,0.0,-8.58,-100.0,0,10
Meghalaya,2024-11-26,2024-11,17.5,243.9,-6.52,4.5,0,0
Mizoram,2024-01-01,2024-01,20.4,996.3,-3.65,327.0,0,0
Mizoram,2024-01-31,2024-01,23.4,527.1,-0.6,125.9,0,0
Mizoram,2024-03-01,2024-03,22.2,267.8,-1.8,14.8,0,0
Mizoram,2024-03-31,2024-03,23.9,0.0,-0.14,-100.0,0,10
Mizoram,2024-04-30,2024-04,30.7,0.0,6.69,-100.0,0,10
Mizoram,2024-05-30,2024-05,25.6,328.1,1.57,40.6,0,0
Mizoram,2024-06-29,2024-06,28.1,874.2,4.1,274.7,0,0
Mizoram,2024-07-29,2024-07,23.3,522.9,-0.69,124.1,0,0
Mizoram,2024-08-28,2024-08,24.0,236.6,0.01,1.4,0,0
Mizoram,2024-09-27,2024-09,20.6,0.0,-3.4,-100.0,0,10
Mizoram,2024-10-27,2024-10,17.5,0.0,-6.47,-100.0,0,10
Mizoram,2024-11-26,2024-11,19.2,269.3,-4.76,15.4,0,0
Nagaland,2024-01-01,2024-01,24.1,165.9,-2.91,81.0,0,0
Nagaland,2024-01-31,2024-01,21.4,346.4,-5.57,277.9,0,0
Nagaland,2024-03-01,2024-03,27.7,71.1,0.66,-22.5,0,10
Nagaland,2024-03-31,2024-03,32.6,0.0,5.6,-100.0,0,10
Nagaland,2024-04-30,2024-04,33.7,0.0,6.69,-100.0,0,10
Nagaland,2024-05-30,2024-05,36.1,139.9,9.12,52.7,0,0
Nagaland,2024-06-29,2024-06,30.8,323.4,3.83,252.8,0,0
Nagaland,2024-07-29,2024-07,30.8,353.3,3.79,285.4,0,0
Nagaland,2024-08-28,2024-08,25.1,110.5,-1.93,20.6,0,0
Nagaland,2024-09-27,2024-09,26.6,0.0,-0.38,-100.0,0,10
Nagaland,2024-10-27,2024-10,20.3,0.0,-6.7,-100.0,0,10
Nagaland,2024-11-26,2024-11,21.5,111.4,-5.54,21.5,0,0
Odisha,2024-01-01,2024-01,25.7,256.0,-1.33,179.3,0,0
Odisha,2024-01-31,2024-01,27.8,146.7,0.76,60.1,0,0
Odisha,2024-03-01,2024-03,23.6,90.1,-3.41,-1.7,0,0
Odisha,2024-03-31,2024-03,30.3,0.0,3.27,-100.0,0,10
Odisha,2024-04-30,2024-04,27.2,0.0,0.2,-100.0,0,10
Odisha,2024-05-30,2024-05,29.4,110.1,2.39,20.1,0,0
Odisha,2024-06-29,2024-06,32.1,179.8,5.06,96.2,0,0
Odisha,2024-07-29,2024-07,28.5,170.9,1.47,86.4,0,0
Odisha,2024-08-28,2024-08,26.9,117.9,-0.13,28.7,0,0
Odisha,2024-09-27,2024-09,22.5,0.0,-4.47,-100.0,0,10
Odisha,2024-10-27,2024-10,21.6,0.0,-5.39,-100.0,0,10
Odisha,2024-11-26,2024-11,21.8,63.2,-5.21,-31.1,0,10
Punjab,2024-01-01,2024-01,26.6,58.3,-5.44,75.0,0,0
Punjab,2024-01-31,2024-01,33.4,92.0,1.43,176.1,0,0
Punjab,2024-03-01,2024-03,30.6,35.5,-1.4,6.4,0,0
Punjab,2024-03-31,2024-03,34.3,0.0,2.28,-100.0,0,10
Punjab,2024-04-30,2024-04,37.6,0.0,5.56,-100.0,0,10
Punjab,2024-05-30,2024-05,35.9,27.6,3.94,-17.3,0,0
Punjab,2024-06-29,2024-06,35.8,28.2,3.78,-15.5,0,0
Punjab,2024-07-29,2024-07,31.5,128.4,-0.53,285.2,0,0
Punjab,2024-08-28,2024-08,35.3,30.8,3.29,-7.5,0,0
Punjab,2024-09-27,2024-09,30.7,0.0,-1.35,-100.0,0,10
Punjab,2024-10-27,2024-10,33.8,0.0,1.83,-100.0,0,10
Punjab,2024-11-26,2024-11,26.7,23.8,-5.26,-28.7,0,10
Rajasthan,2024-01-01,2024-01,24.5,96.6,-7.54,189.9,0,0
Rajasthan,2024-01-31,2024-01,28.0,52.2,-4.01,56.6,0,0
Rajasthan,2024-03-01,2024-03,30.7,22.5,-1.29,-32.4,0,10
Rajasthan,2024-03-31,2024-03,37.9,0.0,5.87,-100.0,0,10
Rajasthan,2024-04-30,2024-04,36.3,0.0,4.31,-100.0,0,10
Rajasthan,2024-05-30,2024-05,37.2,24.7,5.15,-25.8,0,10
Rajasthan,2024-06-29,2024-06,39.4,105.8,7.38,217.4,0,0
Rajasthan,2024-07-29,2024-07,32.4,85.9,0.43,157.6,0,0
Rajasthan,2024-08-28,2024-08,30.2,19.5,-1.75,-41.5,0,10
Rajasthan,2024-09-27,2024-09,31.4,0.0,-0.65,-100.0,0,10
Rajasthan,2024-10-27,2024-10,24.9,0.0,-7.13,-100.0,0,10
Rajasthan,2024-11-26,2024-11,25.7,28.5,-6.3,-14.6,0,0
Sikkim,2024-01-01,2024-01,9.5,202.4,-5.51,102.4,0,0
Sikkim,2024-01-31,2024-01,12.6,205.1,-2.4,105.1,0,0
Sikkim,2024-03-01,2024-03,15.5,98.5,0.54,-1.5,0,0
Sikkim,2024-03-31,2024-03,17.0,0.0,2.02,-100.0,0,10
Sikkim,2024-04-30,2024-04,18.2,0.0,3.18,-100.0,0,10
Sikkim,2024-05-30,2024-05,21.0,70.7,6.0,-29.3,0,10
Sikkim,2024-06-29,2024-06,19.5,334.8,4.53,234.8,0,0
Sikkim,2024-07-29,2024-07,14.2,317.7,-0.84,217.7,0,0
Sikkim,2024-08-28,2024-08,13.7,117.1,-1.33,17.1,0,0
Sikkim,2024-09-27,2024-09,11.0,0.0,-4.03,-100.0,0,10
Sikkim,2024-10-27,2024-10,7.4,0.0,-7.59,-100.0,0,10
Sikkim,2024-11-26,2024-11,10.5,72.9,-4.48,-27.1,0,10
Tamil Nadu,2024-01-01,2024-01,24.9,285.5,-3.05,37.0,0,0
Tamil Nadu,2024-01-31,2024-01,25.4,362.4,-2.63,73.9,0,0
Tamil Nadu,2024-03-01,2024-03,26.7,211.3,-1.3,1.4,0,0
Tamil Nadu,2024-03-31,2024-03,28.8,0.0,0.78,-100.0,0,10
Tamil Nadu,2024-04-30,2024-04,34.3,0.0,6.34,-100.0,0,10
Tamil Nadu,2024-05-30,2024-05,34.7,137.7,6.67,-33.9,0,10
Tamil Nadu,2024-06-29,2024-06,33.4,815.3,5.39,291.4,0,0
Tamil Nadu,2024-07-29,2024-07,25.6,433.1,-2.44,107.9,0,0
Tamil Nadu,2024-08-28,2024-08,29.2,195.6,1.15,-6.1,0,0
Tamil Nadu,2024-09-27,2024-09,26.2,0.0,-1.76,-100.0,0,10
Tamil Nadu,2024-10-27,2024-10,23.8,0.0,-4.16,-100.0,0,10
Tamil Nadu,2024-11-26,2024-11,25.3,224.2,-2.66,7.6,0,0
Telangana,2024-01-01,2024-01,23.3,219.5,-3.65,139.4,0,0
Telangana,2024-01-31,2024-01,23.5,217.9,-3.48,137.8,0,0
Telangana,2024-03-01,2024-03,27.8,80.1,0.79,-12.6,0,0
Telangana,2024-03-31,2024-03,30.1,0.0,3.08,-100.0,0,10
Telangana,2024-04-30,2024-04,33.1,0.0,6.07,-100.0,0,10
Telangana,2024-05-30,2024-05,34.4,80.4,7.4,-12.2,0,0
Telangana,2024-06-29,2024-06,27.3,174.7,0.25,90.6,0,0
Telangana,2024-07-29,2024-07,25.8,224.0,-1.24,144.4,0,0
Telangana,2024-08-28,2024-08,27.0,137.8,0.04,50.3,0,0
Telangana,2024-09-27,2024-09,25.2,0.0,-1.85,-100.0,0,10
Telangana,2024-10-27,2024-10,24.3,0.0,-2.67,-100.0,0,10
Telangana,2024-11-26,2024-11,22.5,112.9,-4.53,23.1,0,0
Tripura,2024-01-01,2024-01,16.7,856.2,-7.29,266.9,0,0
Tripura,2024-01-31,2024-01,22.2,558.1,-1.82,139.2,0,0
Tripura,2024-03-01,2024-03,25.3,392.3,1.27,68.1,0,0
Tripura,2024-03-31,2024-03,26.9,0.0,2.86,-100.0,0,10
Tripura,2024-04-30,2024-04,27.4,0.0,3.41,-100.0,0,10
Tripura,2024-05-30,2024-05,30.7,173.4,6.66,-25.7,0,10
Tripura,2024-06-29,2024-06,28.5,546.1,4.47,134.1,0,0
Tripura,2024-07-29,2024-07,27.5,701.3,3.46,200.6,0,0
Tripura,2024-08-28,2024-08,26.1,197.6,2.08,-15.3,0,0
Tripura,2024-09-27,2024-09,21.0,0.0,-3.04,-100.0,0,10
Tripura,2024-10-27,2024-10,18.8,0.0,-5.22,-100.0,0,10
Tripura,2024-11-26,2024-11,20.5,168.8,-3.49,-27.7,0,10
Uttar Pradesh,2024-01-01,2024-01,24.4,352.3,-2.59,284.3,0,0
Uttar Pradesh,2024-01-31,2024-01,25.3,391.4,-1.67,327.0,0,0
Uttar Pradesh,2024-03-01,2024-03,25.5,57.4,-1.55,-37.3,0,10
Uttar Pradesh,2024-03-31,2024-03,25.9,0.0,-1.06,-100.0,0,10
Uttar Pradesh,2024-04-30,2024-04,32.6,0.0,5.64,-100.0,0,10
Uttar Pradesh,2024-05-30,2024-05,32.6,60.7,5.56,-33.8,0,10
Uttar Pradesh,2024-06-29,2024-06,36.2,260.1,9.22,183.8,0,0
Uttar Pradesh,2024-07-29,2024-07,29.7,305.0,2.72,232.7,0,0
Uttar Pradesh,2024-08-28,2024-08,28.0,97.8,0.96,6.7,0,0
Uttar Pradesh,2024-09-27,2024-09,22.9,0.0,-4.08,-100.0,0,10
Uttar Pradesh,2024-10-27,2024-10,26.4,0.0,-0.57,-100.0,0,10
Uttar Pradesh,2024-11-26,2024-11,25.2,77.6,-1.81,-15.3,0,0
Uttarakhand,2024-01-01,2024-01,8.7,262.9,-6.31,162.9,0,0
Uttarakhand,2024-01-31,2024-01,12.6,362.9,-2.39,262.9,0,0
Uttarakhand,2024-03-01,2024-03,11.6,145.9,-3.38,45.9,0,0
Uttarakhand,2024-03-31,2024-03,17.2,0.0,2.18,-100.0,0,10
Uttarakhand,2024-04-30,2024-04,17.3,0.0,2.31,-100.0,0,10
Uttarakhand,2024-05-30,2024-05,21.6,102.2,6.65,2.2,0,0
Uttarakhand,2024-06-29,2024-06,16.8,167.1,1.75,67.1,0,0
Uttarakhand,2024-07-29,2024-07,16.8,410.0,1.83,310.0,0,0
Uttarakhand,2024-08-28,2024-08,14.5,54.9,-0.52,-45.1,0,10
Uttarakhand,2024-09-27,2024-09,12.0,0.0,-2.99,-100.0,0,10
Uttarakhand,2024-10-27,2024-10,5.3,0.0,-9.72,-100.0,0,10
Uttarakhand,2024-11-26,2024-11,9.5,120.9,-5.46,20.9,0,0
West Bengal,2024-01-01,2024-01,26.4,335.1,-0.63,265.5,0,0
West Bengal,2024-01-31,2024-01,24.0,167.3,-3.04,82.5,0,0
West Bengal,2024-03-01,2024-03,32.1,93.3,5.15,1.8,0,0
West Bengal,2024-03-31,2024-03,29.5,0.0,2.53,-100.0,0,10
West Bengal,2024-04-30,2024-04,31.7,0.0,4.73,-100.0,0,10
West Bengal,2024-05-30,2024-05,30.9,76.6,3.85,-16.4,0,0
West Bengal,2024-06-29,2024-06,31.3,209.6,4.26,128.7,0,0
West Bengal,2024-07-29,2024-07,28.1,258.4,1.07,181.9,0,0
West Bengal,2024-08-28,2024-08,26.5,133.0,-0.51,45.1,0,0
West Bengal,2024-09-27,2024-09,19.2,0.0,-7.8,-100.0,0,10
West Bengal,2024-10-27,2024-10,25.2,0.0,-1.84,-100.0,0,10
West Bengal,2024-11-26,2024-11,21.3,81.5,-5.69,-11.1,0,0
